"년월","대여소명","대여건수","반납건수"
"202507","1001. 광진교 남단 사거리(천호공원 방면)","1","1"
"202507","1002. 해공공원(천호동)","0","1"
"202507","1003. 해공도서관앞","2","0"
"202507","1008. 암사역 3번출구(국민은행앞)","2","5"
"202507","1009. 천호역4번출구(현대백화점)","3","1"
"202507","1010. 강동세무서","6","5"
"202507","1011. LIGA 아파트 앞","1","0"
"202507","1017. 둔촌고교입구 교차로(길동주민센터 방면)","3","0"
"202507","1018. 둔촌 주공 GS 맞은편","6","2"
"202507","102. 망원역 1번출구 앞","18","20"
"202507","1020. 강동경찰서","4","4"
"202507","1022. 길동 사거리(초소앞)","0","1"
"202507","1029. 성내어울터","1","0"
"202507","103. 망원역 2번출구 앞","13","16"
"202507","1030. 미호 플랜트 앞","1","1"
"202507","1033. 고덕동 아남아파트","2","4"
"202507","1034. 고덕동 래미안 힐스테이트","0","1"
"202507","1036. 고덕동 주양쇼핑","0","1"
"202507","104. 합정역 1번출구 앞","8","11"
"202507","1041. 묘곡초등학교","2","0"
"202507","1044. 굽은다리역","6","2"
"202507","105. 합정역 5번출구 앞","1","5"
"202507","1050.  둔촌역 3번 출입구","1","3"
"202507","1057. 능골근린공원","1","1"
"202507","106. 합정역 7번출구 앞","39","42"
"202507","107. 수협 연남동지점","13","9"
"202507","1070.(시립)고덕평생학습관","1","0"
"202507","1072.고덕역 5번출구","1","0"
"202507","1078.둔촌사거리","0","1"
"202507","1079.강일동입구교차로","0","2"
"202507","108. 서교동 사거리","21","11"
"202507","1080.천호지하주차장 5번 출입구","2","0"
"202507","1081.트레빌빌딩","0","1"
"202507","1084. 윤선생빌딩(JYP사옥)","1","0"
"202507","1102. 방화사거리 마을버스 버스정류장","0","1"
"202507","1103. 방화역 4번출구앞","2","6"
"202507","111. 상수역 2번출구 앞","10","34"
"202507","1112. 마곡엠밸리4단지 정문","9","7"
"202507","1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)","13","10"
"202507","1119. 염창동 한마음아파트 앞","1","1"
"202507","1121. 가양레포츠센터 앞","1","1"
"202507","1124. 발산역 6번 출구 뒤","5","2"
"202507","113. 홍대입구역 2번출구 앞","49","25"
"202507","1130. 화곡본동시장 버스정류장","0","1"
"202507","1132. 등촌역 7번출구","0","1"
"202507","1135. 강서구의회","0","1"
"202507","1136. 등촌2파출소","2","0"
"202507","1137. 등촌2동주민센터","1","0"
"202507","1139. 용문사 버스정류장","1","0"
"202507","114. 홍대입구역 8번출구 앞","32","29"
"202507","1140. 목동사거리 버스정류장","1","3"
"202507","1141. 곰달래 문화복지센터 A","1","1"
"202507","1145. 곰달래 문화복지센터 B","1","1"
"202507","115. 마스타 빌딩 앞","8","12"
"202507","1151. 마곡역1번출구","2","3"
"202507","1153. 발산역 1번, 9번 인근 대여소","4","9"
"202507","1155. 기쁜우리복지관","0","2"
"202507","1158. 가양역 8번출구","3","1"
"202507","1160. 양천향교역 7번출구앞","3","4"
"202507","1161. 강서면허시험장 앞","1","1"
"202507","1166. 강서구립등빛도서관","0","3"
"202507","1167. 마곡수명산파크3단지 교차로","0","2"
"202507","1169. 염창역 1번 출구","5","5"
"202507","117. 홍은사거리","3","4"
"202507","1173. 강서구청사거리(SH타워)","1","2"
"202507","1178. 개화산역 2번 출구","2","2"
"202507","118. 광흥창역 2번출구 앞","1","0"
"202507","1185. 등촌9단지","0","3"
"202507","119. 서강나루 공원","15","8"
"202507","1190. 마곡역 교차로(2번출구)","1","4"
"202507","1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)","8","3"
"202507","1193. 마곡센트럴타워 1차","2","2"
"202507","1197. 엠펠리체 호텔 건너편","10","5"
"202507","120. 신수동 사거리","1","0"
"202507","1204. 거여역 3번출구","0","1"
"202507","1205. 종합운동장역 4번출구","3","7"
"202507","1206. 9호선종합운동장역 9번출구","1","4"
"202507","1209. 잠실나루역 (2번 출구 쪽)","1","5"
"202507","121. 마포소방서 앞","1","1"
"202507","1210. 롯데월드타워(잠실역2번출구 쪽)","35","23"
"202507","1212. 송파역 2번 출구앞","4","5"
"202507","1213. 백토공원 앞","3","0"
"202507","1214. 오금역 7번 출구 인근","1","1"
"202507","1215. 올림픽공원역 1번출구 앞","2","1"
"202507","1217. 송파파인타운 7단지","1","0"
"202507","1218. 방이역 4번출구","3","1"
"202507","122. 신성기사식당 앞","1","0"
"202507","1221. 삼전역 4번출구","1","2"
"202507","1222. 잠실새내역 5번 출구 뒤","2","12"
"202507","1224. 아시아지하보도 2번 출구","0","1"
"202507","1226. 잠실4동 주민센터 옆","1","2"
"202507","123. 문화촌 공원","1","0"
"202507","1231. 잠실역 6번출구","3","3"
"202507","1232. 잠실주공 521동 건너편","1","2"
"202507","1233. 잠실3거리(갤러리아팰리스)","3","1"
"202507","1235. 잠실트리지움310동 옆","3","0"
"202507","124. 서강대 정문 건너편","8","7"
"202507","1240. 문정 법조단지4","1","0"
"202507","1243. 문정 법조단지7","1","0"
"202507","1244. 문정 법조단지8","9","8"
"202507","1247. 문정 법조단지11","3","2"
"202507","1248. 방이초등학교","2","5"
"202507","1251. 석촌역 2번출구","3","2"
"202507","1259. 방이역 1번출구","1","1"
"202507","126. 서강대 후문 옆","2","0"
"202507","1260. 방이동 한양3차아파트 옆","1","2"
"202507","1262. 송파여성문화회관 앞","1","0"
"202507","1264. 천호역 10번 출구 앞","1","2"
"202507","1265. 문정동 근린공원","1","0"
"202507","1267. 올림픽공원 남2문 앞","1","1"
"202507","1268. 몽촌토성역 1번출구 옆","15","8"
"202507","1269. 리센츠아파트 ","1","0"
"202507","127. 현대벤처빌 앞","3","0"
"202507","1274. 영파여고 앞","0","1"
"202507","1278. 송파구청 교차로","3","3"
"202507","128. 신촌역(2호선) 1번출구 옆","9","9"
"202507","1282. 송파소방서 맞은편(성내4교)","0","1"
"202507","1283. 오금공원 사거리","1","0"
"202507","129. 신촌역(2호선) 6번출구 옆","2","5"
"202507","1293. 석촌호수 서호 사거리","1","2"
"202507","1295. 잠실역 8번출구","4","12"
"202507","1296. 석촌호수교차로 (송파나루근린공원 앞)","0","3"
"202507","1297. 석촌호수교차로(동호 팔각정 앞)","3","3"
"202507","130. 신촌역(2호선) 7번출구 앞","17","29"
"202507","1306. 한성대입구역2번출구","0","6"
"202507","1308. 안암로터리 버스정류장 앞","5","4"
"202507","131. 증산2교","4","2"
"202507","1318. 길음역 3번출구 뒤","0","1"
"202507","1319. 종암박스파크","3","4"
"202507","1321. 국민은행 종암동지점 앞","5","1"
"202507","1322. 래미안라센트아파트 103동 앞","4","5"
"202507","1328. 월곡역 3번출구","0","1"
"202507","1332. 석계역 5번출구 건너편","0","2"
"202507","1337. 돈암성당 옆","5","2"
"202507","1338. 용문2교 옆","0","1"
"202507","1339. 삼성전자서비스 성북센터","2","0"
"202507","134. 연세로 명물길","15","8"
