"년월","대여소명","대여건수","반납건수"
"202307","1365. 선잠단지 앞","1","2"
"202307","1368. 성신여대입구 교차로","4","1"
"202307","137. 신촌기차역입구 교차로","5","6"
"202307","1370. 복자사랑 피정의 집","1","0"
"202307","1372. KEB은행 고대점","3","2"
"202307","1377. 한국과학기술연구원 북문","0","2"
"202307","138. 신촌동 제1공영주차장 앞","5","1"
"202307","1380.월곡역 5번출구 앞","5","5"
"202307","1384.성신여대입구역 5번출구","2","1"
"202307","139. 연세대 정문 건너편","0","1"
"202307","1390.석관래미안아트리치","1","1"
"202307","140. 이화여대 후문","5","10"
"202307","1401. 극동늘푸른아파트","1","0"
"202307","1403. 중화빌딩 앞 (동부시장)","0","1"
"202307","141. 연대 대운동장 옆","1","0"
"202307","1411. 상봉시장앞 교차로 한성빌딩 앞","2","1"
"202307","1416. 상봉역 3번출구","0","1"
"202307","142. 아현역 4번출구 앞","0","2"
"202307","1426. 면목도시개발아파트 1동 앞","0","1"
"202307","143. 공덕역 2번출구","2","0"
"202307","1437. 늘푸른공원 앞","1","0"
"202307","1438. 홈플러스 신내점 앞","2","2"
"202307","144. 공덕역 8번출구","6","15"
"202307","1447. 면목역 3번출구","0","1"
"202307","1448. 코스트코 상봉점","0","2"
"202307","1449. 상봉역 1번출구","1","2"
"202307","145. 공덕역 5번출구","2","1"
"202307","1451. 중랑세무서","5","2"
"202307","1452. 겸재교 진입부","2","1"
"202307","1455. 상봉역 2번 출구","2","1"
"202307","1457. 동원사거리","2","4"
"202307","146. 마포역 2번출구 뒤","22","24"
"202307","1462.동부시장 북문 앞","1","0"
"202307","147. 마포역 4번출구 뒤","7","23"
"202307","1473.중랑역 1번 출구(중화문화복지센터)","1","1"
"202307","148. 용강동 주민센터 앞","3","11"
"202307","1480. 용마지구대 B","2","2"
"202307","150. 서강대역 2번출구 앞","8","4"
"202307","1509. 서울북부수도사업소","2","1"
"202307","153. 성산2교 사거리","3","5"
"202307","1531. 미아사거리 1번 출구","1","0"
"202307","1533. 번동 주공3, 4단지 교차로","0","1"
"202307","1535. 효성인텔리안 앞","4","1"
"202307","1537. 북한산 우이역","1","1"
"202307","154. 마포구청역 ","2","1"
"202307","1542. 삼양사거리역","0","2"
"202307","1553.서울북부고용노동지청","0","1"
"202307","156. 서울서부지방법원 앞","0","6"
