"년월","대여소명","대여건수","반납건수"
"202401","102. 망원역 1번출구 앞","4","3"
"202401","103. 망원역 2번출구 앞","3","3"
"202401","104. 합정역 1번출구 앞","0","5"
"202401","105. 합정역 5번출구 앞","1","0"
"202401","1050.  둔촌역 3번 출입구","0","1"
"202401","106. 합정역 7번출구 앞","6","2"
"202401","1070.(시립)고덕평생학습관","1","0"
"202401","1078.둔촌사거리","1","0"
"202401","108. 서교동 사거리","3","2"
"202401","1081.트레빌빌딩","1","0"
"202401","1084. 윤선생빌딩(JYP사옥)","2","2"
"202401","109. 제일빌딩 앞","2","4"
"202401","1090.상일동역 2번출구 앞","0","1"
"202401","111. 상수역 2번출구 앞","0","3"
"202401","112. 극동방송국 앞","4","3"
"202401","1120. 대림경동아파트앞","1","2"
"202401","1121. 가양레포츠센터 앞","1","0"
"202401","113. 홍대입구역 2번출구 앞","9","12"
"202401","114. 홍대입구역 8번출구 앞","6","10"
"202401","1140. 목동사거리 버스정류장","1","0"
"202401","115. 마스타 빌딩 앞","5","3"
"202401","1152. 마곡역교차로","1","0"
"202401","1162. 공항초등학교건너편","1","0"
"202401","1182. KBS 스포츠월드","1","0"
"202401","119. 서강나루 공원","3","3"
"202401","1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)","1","1"
"202401","1193. 마곡센트럴타워 1차","1","0"
"202401","1197. 엠펠리체 호텔 건너편","0","1"
"202401","1203. 밀리아나2빌딩 앞","1","0"
"202401","1205. 종합운동장역 4번출구","1","1"
"202401","1206. 9호선종합운동장역 9번출구","2","0"
"202401","1210. 롯데월드타워(잠실역2번출구 쪽)","1","1"
"202401","1222. 잠실새내역 5번 출구 뒤","6","11"
"202401","1224. 아시아지하보도 2번 출구","0","4"
"202401","1231. 잠실역 6번출구","0","1"
"202401","1232. 잠실주공 521동 건너편","1","0"
"202401","1233. 잠실3거리(갤러리아팰리스)","2","1"
"202401","124. 서강대 정문 건너편","1","0"
"202401","1247. 문정 법조단지11","1","0"
"202401","1248. 방이초등학교","1","0"
"202401","1251. 석촌역 2번출구","4","0"
"202401","1268. 몽촌토성역 1번출구 옆","1","1"
"202401","128. 신촌역(2호선) 1번출구 옆","3","0"
"202401","1286. 위례중앙푸르지오 1단지 앞","0","3"
"202401","1287. 위례아이파크 101동 맞은편","1","0"
"202401","129. 신촌역(2호선) 6번출구 옆","1","0"
"202401","1295. 잠실역 8번출구","2","0"
"202401","1297. 석촌호수교차로(동호 팔각정 앞)","0","1"
"202401","130. 신촌역(2호선) 7번출구 앞","3","4"
"202401","1308. 안암로터리 버스정류장 앞","0","1"
"202401","1321. 국민은행 종암동지점 앞","4","2"
"202401","1323. 월곡역 입구 육교 밑","3","2"
"202401","1332. 석계역 5번출구 건너편","0","2"
"202401","1337. 돈암성당 옆","2","0"
"202401","1338. 용문2교 옆","1","0"
"202401","134. 연세로 명물길","1","1"
"202401","135. 명물길 원형무대 앞","0","1"
"202401","1354. 고려대학교 2번출구","1","3"
"202401","1361. 홍익중고 입구","0","5"
"202401","1365. 선잠단지 앞","1","0"
"202401","1368. 성신여대입구 교차로","0","1"
"202401","137. 신촌기차역입구 교차로","1","4"
"202401","1370. 복자사랑 피정의 집","3","0"
"202401","1373. 성북구보건소 건너편","2","0"
"202401","138. 신촌동 제1공영주차장 앞","1","1"
"202401","1380.월곡역 5번출구 앞","1","1"
"202401","1381.석계역 4번출구 뒤","3","3"
"202401","140. 이화여대 후문","1","0"
"202401","1405. 망우역 1번출구","1","1"
"202401","141. 연대 대운동장 옆","1","0"
"202401","142. 아현역 4번출구 앞","0","1"
"202401","143. 공덕역 2번출구","1","0"
"202401","144. 공덕역 8번출구","5","5"
"202401","1449. 상봉역 1번출구","0","1"
"202401","145. 공덕역 5번출구","0","2"
"202401","1455. 상봉역 2번 출구","0","2"
"202401","1458. 상봉터미널2","3","3"
"202401","146. 마포역 2번출구 뒤","10","9"
"202401","147. 마포역 4번출구 뒤","5","4"
"202401","1478.홈플러스 상봉점 앞","1","0"
"202401","150. 서강대역 2번출구 앞","1","2"
"202401","159. 이대역 4번 출구","1","1"
"202401","160. 북아현동 가구거리","1","0"
"202401","1601. 석계역 문화광장 내 자전거 보관소","2","0"
"202401","1602. 광운대역 앞","2","0"
"202401","1610. 화랑대역 2번출구 앞","1","0"
"202401","1611. 과기대 입구(우)","3","3"
"202401","162. 봉원고가차도 밑","1","1"
"202401","1637. KT 전화국 버스정류장 옆","0","1"
"202401","1642. 서울여대 남문","0","1"
"202401","1653. 노원역1번출구","2","0"
"202401","1654. 당고개입구 오거리","0","1"
"202401","1657. 노원구청 ","1","1"
"202401","1660. 서울시립과학관","0","3"
"202401","1677. 육군사관학교  앞","3","0"
"202401","1679. 삼육대 도서관","1","1"
"202401","1721. 창동역 2번출구 ","3","3"
"202401","1738. 창동주공17단지 상가앞","1","3"
"202401","1751. 창원초등학교 교차로","2","0"
"202401","181. 망원초록길 입구","2","1"
"202401","182. 망원2빗물펌프장 앞","1","0"
"202401","183. 하늘채코오롱아파트 건너편","1","0"
"202401","184. 7번가피자 서교망원점","1","0"
"202401","185. 마포 신수공원 앞","7","5"
"202401","1911. 구로디지털단지역 앞","1","2"
"202401","1933. 개봉푸르지오아파트 상가","2","2"
"202401","1946. 구로역 광장","0","1"
"202401","1958. 강서수도사업소민원센터","1","0"
"202401","1961. 신도림테크노근린공원","2","2"
"202401","1986. 태평양물산","0","2"
"202401","2000. 신도림4차 e편한세상 아파트 1109동 앞","2","0"
"202401","2003. 사육신공원앞","1","0"
"202401","202. 국민일보 앞","1","4"
"202401","2025. 흑석역 1번출구","0","2"
"202401","203. 국회의사당역 3번출구 옆","3","0"
"202401","2037. 동작역 5번출구 동작주차공원","0","3"
"202401","2048. 삼일초등학교 인근","0","1"
"202401","2050. 노량진역 5번출구","2","0"
"202401","2058. 동작경찰서","1","2"
"202401","206. KBS 앞","2","1"
"202401","207. 여의나루역 1번출구 앞","16","13"
"202401","2070. 노량진역 2번 출구 앞","1","0"
"202401","2071. 대림아파트 후문 상가 옆","1","1"
"202401","209. 유진투자증권빌딩 앞","3","4"
"202401","2102. 봉림교 교통섬","5","5"
"202401","2111. 서울대입구역 1번출구","1","0"
"202401","213. KT앞","0","1"
"202401","215. 여의도고교 앞","1","4"
"202401","2183. 동방1교","1","1"
"202401","219. 롯데캐슬엠파이어 옆","0","2"
"202401","221. 여의도초교 앞","8","4"
"202401","2214. 신반포역 2번출구 앞","3","0"
"202401","2215. 반포종합운동장 입구","2","0"
"202401","2217.아크로리버뷰 부지 앞","0","1"
"202401","2219. 고속터미널역 8-1번, 8-2번 출구 사이","6","6"
"202401","222. 시범아파트버스정류장 옆","3","2"
"202401","2223. 방배래미안 정문 앞","1","0"
"202401","2228.뒷벌공원 옆","1","0"
"202401","2230.이수역 4번 출구","1","0"
"202401","2231. 삼성타운(삼성생명) A동 맞은편","1","0"
"202401","225. 앙카라공원 앞","1","1"
"202401","2259. 잠원역 3번-4번 출구사이 ","1","1"
"202401","226. 샛강역 1번출구 앞","0","1"
"202401","2262. 한신16차아파트 119동 앞","11","9"
"202401","2264. 이수역 1번출구","0","1"
"202401","2266. 서초역 3번출구","1","1"
"202401","2271. 내방역 8번출구 앞","0","1"
"202401","2279. 교대역 5번출구뒤","0","1"
"202401","229. 양평1 보행육교 앞","1","2"
"202401","230. 영등포구청역 1번출구","3","3"
"202401","2301. 현대고등학교 건너편","3","0"
"202401","2302. 교보타워 버스정류장(신논현역 3번출구 후면)","1","0"
"202401","2303. 논현역 10번출구","1","1"
"202401","2306. 압구정역 2번 출구 옆","1","2"
"202401","2308. 압구정파출소 앞","4","0"
"202401","2310. 청담동 맥도날드 옆(위치)","2","2"
"202401","2312. 청담역 13번 출구 앞","0","1"
"202401","2313. 금원빌딩 앞","3","3"
"202401","2314. 청담나들목입구","2","2"
"202401","2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞","1","1"
"202401","233. 양평1동 YP센터 앞","0","1"
"202401","2332. 선릉역3번출구","0","1"
"202401","2353. 강남구청역 2번출구 뒤","0","4"
"202401","236. 문래동자이아파트 앞","0","4"
"202401","2362. 신사동 가로수길 입구","5","0"
"202401","2363. 강남 을지병원 교차로","6","2"
"202401","2364. 도산공원교차로","0","2"
"202401","2365. K+ 타워 앞","1","3"
"202401","238. 제2구민체육센타 앞","6","3"
"202401","239. 유스호스텔 앞","8","9"
"202401","240. 문래역 4번출구 앞","2","0"
"202401","2406. 논현동 광명빌딩 앞","3","0"
"202401","2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞)","0","4"
"202401","2418.봉은사역 7번 출구 ","0","1"
"202401","2421. 신논현역 4번출구","3","1"
"202401","2429.압구정로데오역 6번출구","6","6"
"202401","243. 이앤씨드림타워 앞","3","2"
"202401","2430.강남파이낸스센터앞(역삼역2번출구)","0","4"
"202401","244. 영등포삼환아파트 앞","1","2"
"202401","245. 삼성생명 당산사옥 앞","1","0"
