일시,대여소,대여건수,반납건수
202201,1004. 삼성광나루아파트 버스정류장,0,1
202201,1016. 해뜨는 주유소옆 리엔파크 109동앞,0,1
202201,1024.  강동구청 앞,1,1
202201,1030. 미호 플랜트 앞,1,2
202201,1047. 강동 한신휴플러스,1,0
202201,106. 합정역 7번출구 앞,2,5
202201,1077.강동역 1번출구 앞,0,1
202201,108. 서교동 사거리,1,3
202201,1084. 윤선생빌딩(JYP사옥),0,1
202201,1088.풍납사거리(강동),1,1
202201,111. 상수역 2번출구 앞,2,2
202201,113. 홍대입구역 2번출구 앞,3,6
202201,114. 홍대입구역 8번출구 앞,3,4
202201,115. 마스타 빌딩 앞,5,1
202201,1151. 마곡역1번출구,0,1
202201,"1153. 발산역 1번, 9번 인근 대여소",2,0
202201,116. 일진아이윌아파트 옆,0,1
202201,119. 서강나루 공원,5,8
202201,1193. 마곡센트럴타워 1차,1,0
202201,1197. 엠펠리체 호텔 건너편,4,3
202201,1200. 개화광역환승센터,0,1
202201,1206. 9호선종합운동장역 9번출구,1,0
202201,1209. 잠실나루역 (2번 출구 쪽),5,0
202201,121. 마포소방서 앞,0,3
202201,1210. 롯데월드타워(잠실역2번출구 쪽),6,1
202201,1224. 아시아지하보도 2번 출구,3,1
202201,1246. 문정 법조단지10,1,0
202201,1262. 송파여성문화회관 앞,1,0
202201,1268. 몽촌토성역 1번출구 옆,0,1
202201,129. 신촌역(2호선) 6번출구 옆,1,1
202201,1295. 잠실역 8번출구,0,1
202201,130. 신촌역(2호선) 7번출구 앞,5,1
202201,1332. 석계역 5번출구 건너편,0,1
202201,1337. 돈암성당 옆,1,0
202201,134. 연세로 명물길,5,1
202201,1357. 북한산보국문역,0,1
202201,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,0,1
202201,1448. 코스트코 상봉점,0,1
202201,145. 공덕역 5번출구,1,0
202201,146. 마포역 2번출구 뒤,0,3
202201,148. 용강동 주민센터 앞,1,3
202201,153. 성산2교 사거리,5,6
202201,1531. 미아사거리 1번 출구,1,0
202201,1536. 번동 두산위브 101동 옆,1,0
202201,1539. 4.19민주묘지역,1,3
202201,1557.신창교,1,0
202201,1565.대한병원앞,1,0
202201,160. 북아현동 가구거리,0,1
202201,1608. 공릉역 1번 출구 앞,1,0
202201,1674. 서울북부고용센터앞,1,0
202201,1804. 독산역 2번출구 자전거주차장,0,3
202201,181. 망원초록길 입구,2,1
202201,182. 망원2빗물펌프장 앞,1,0
202201,1835. STX V타워,0,1
202201,184. 7번가피자 서교망원점,1,0
202201,1849. 대륭포스트타워5차,1,0
202201,185. 마포 신수공원 앞,1,0
202201,186. 월드컵공원,4,0
202201,1867.대륭포스트타워6차 앞,0,1
202201,1906. 신도림역 1번 출구 앞,0,1
202201,191. 서우빌딩,1,0
202201,1920. 서울미래초등학교 사거리,0,1
202201,196. 연희교차로 인근,1,1
202201,1977. 천왕역 1번 출입구 앞,0,1
202201,2000. 신도림4차 e편한세상 아파트 1109동 앞,1,1
202201,2002. 노들역 1번출구,3,4
202201,202. 국민일보 앞,5,0
202201,2025. 흑석역 1번출구,0,1
202201,2027. 중앙대학교 정문 1,1,0
202201,205. 산업은행 앞,1,1
202201,2058. 동작경찰서,0,2
202201,207. 여의나루역 1번출구 앞,5,14
202201,2077.노들역 3번출구,5,7
202201,209. 유진투자증권빌딩 앞,1,1
202201,210. IFC몰,2,3
202201,2102. 봉림교 교통섬,2,1
