"년월","대여소명","대여건수","반납건수"
"202407","1001. 광진교 남단 사거리(천호공원 방면)","0","1"
"202407","1004. 삼성광나루아파트 버스정류장","1","0"
"202407","1009. 천호역4번출구(현대백화점)","3","2"
"202407","1011. LIGA 아파트 앞","1","0"
"202407","1012. 천호역효성해링턴타워 앞","1","0"
"202407","1019. 다성이즈빌아파트(호원대 대각선 맞은편)","2","1"
"202407","102. 망원역 1번출구 앞","7","7"
"202407","1020. 강동경찰서","2","2"
"202407","1024.  강동구청 앞","1","2"
"202407","1029. 성내어울터","0","2"
"202407","103. 망원역 2번출구 앞","5","8"
"202407","1030. 미호 플랜트 앞","1","1"
"202407","1032. 선사고등학교","0","1"
"202407","1034. 고덕동 래미안 힐스테이트","0","1"
"202407","104. 합정역 1번출구 앞","16","10"
"202407","1044. 굽은다리역","1","2"
"202407","105. 합정역 5번출구 앞","4","4"
"202407","106. 합정역 7번출구 앞","20","29"
"202407","107. 신한은행 서교동지점","15","8"
"202407","1077.강동역 1번출구 앞","0","3"
"202407","1078.둔촌사거리","0","1"
"202407","108. 서교동 사거리","21","14"
"202407","1084. 윤선생빌딩(JYP사옥)","3","2"
"202407","1085.래미안 솔베뉴(고덕로)","0","1"
"202407","1086.래미안 솔베뉴(구천면로)","1","3"
"202407","1088.풍납사거리(강동)","0","2"
"202407","1101. 상사마을 버스정류장(아라대교방면)","1","1"
"202407","1102. 방화사거리 마을버스 버스정류장","1","0"
"202407","1103. 방화역 4번출구앞","0","1"
"202407","1109. 공항시장역 4번출구","1","0"
"202407","111. 상수역 2번출구 앞","12","22"
"202407","1111. 마곡엠밸리6_7단지 마곡중학교","2","1"
"202407","1112. 마곡엠밸리4단지 정문","3","3"
"202407","1113. 서남환경공원 버스정류장","0","1"
"202407","1117. 등촌5단지아파트 버스정류장","0","2"
"202407","1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)","3","0"
"202407","1119. 염창동 한마음아파트 앞","1","3"
"202407","1122. 황금내근린공원","1","4"
"202407","1124. 발산역 6번 출구 뒤","5","4"
"202407","1125. 명덕고교입구(영종빌딩)","1","0"
"202407","1127. 화곡역 버스정류장","1","1"
"202407","1128. 화곡역 6번출구","0","1"
"202407","1129. 화곡역 1번 출구 앞","1","1"
"202407","113. 홍대입구역 2번출구 앞","30","39"
"202407","1130. 화곡본동시장 버스정류장","0","1"
"202407","1135. 강서구의회","1","0"
"202407","1137. 등촌2동주민센터","0","1"
"202407","114. 홍대입구역 8번출구 앞","36","35"
"202407","1145. 곰달래 문화복지센터 B","1","2"
"202407","115. 마스타 빌딩 앞","9","20"
"202407","1150. 송정역 1번출구","0","3"
"202407","1151. 마곡역1번출구","1","0"
"202407","1152. 마곡역교차로","1","0"
"202407","1153. 발산역 1번, 9번 인근 대여소","7","12"
"202407","1157. 강서구청","8","11"
"202407","1158. 가양역 8번출구","0","1"
"202407","1159. 서서울모터리움 앞","0","1"
"202407","1166. 강서구립등빛도서관","1","2"
"202407","117. 홍은사거리","3","1"
"202407","1173. 강서구청사거리(SH타워)","1","0"
"202407","1174. 강서구청사거리(부민병원)","1","0"
"202407","118. 광흥창역 2번출구 앞","5","0"
"202407","1188. 롯데중앙연구소","1","1"
"202407","119. 서강나루 공원","11","24"
"202407","1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)","0","1"
"202407","1195. 코오롱One&Only타워","1","1"
"202407","1197. 엠펠리체 호텔 건너편","20","14"
"202407","120. 신수동 사거리","1","0"
"202407","1200. 개화광역환승센터","0","2"
"202407","1204. 거여역 3번출구","1","2"
"202407","1205. 종합운동장역 4번출구","5","6"
"202407","1206. 9호선종합운동장역 9번출구","1","1"
"202407","1207. 마천중앙시장","0","1"
