대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
"2021-07","00003","중랑센터","일일(회원)","F","AGE_002","1","141.07","1.50","6476.95","50"
"2021-07","00003","중랑센터","일일(회원)","M","AGE_003","1","188.13","1.49","6420.00","50"
"2021-07","00003","중랑센터","정기",\N,"AGE_003","1","0.00","0.00","0.00","7"
"2021-07","00003","중랑센터","정기",\N,"AGE_005","1","102.87","0.84","3608.08","21"
"2021-07","00003","중랑센터","정기","M","AGE_002","12","644.28","5.82","25029.45","169"
"2021-07","00003","중랑센터","정기","M","AGE_005","3","128.95","1.13","4860.32","31"
"2021-07","00003","중랑센터","정기","M","AGE_008","5","752.56","6.39","27542.09","119"
"2021-07","00005","상암센터 정비실","일일(회원)","M","AGE_004","4","337.36","2.90","12528.24","95"
"2021-07","00005","상암센터 정비실","정기",\N,"AGE_008","4","0.00","0.00","0.00","5"
"2021-07","00010","위트콤","단체","F","AGE_002","3","0.00","0.00","0.00","36"
"2021-07","00010","위트콤","단체","M","AGE_004","1","0.00","0.00","0.00","16"
"2021-07","00010","위트콤","정기","F","AGE_002","4","0.00","0.00","0.00","75"
"2021-07","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_002","1","21.17","0.27","1162.32","8"
"2021-07","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_005","3","242.89","2.79","12026.72","87"
"2021-07","00102","102. 망원역 1번출구 앞","단체","F","AGE_002","9","1412.40","15.92","68588.84","612"
"2021-07","00102","102. 망원역 1번출구 앞","단체","F","AGE_004","3","492.07","4.43","19117.12","320"
"2021-07","00102","102. 망원역 1번출구 앞","단체","M","AGE_002","3","349.42","2.83","12214.57","102"
"2021-07","00102","102. 망원역 1번출구 앞","단체","M","AGE_003","4","162.77","1.53","6588.07","104"
"2021-07","00102","102. 망원역 1번출구 앞","단체","M","AGE_008","4","1383.59","13.64","58842.39","474"
"2021-07","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_001","3","691.05","6.23","26847.25","231"
"2021-07","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_002","14","1469.89","13.26","57105.11","549"
"2021-07","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_003","1","28.39","0.26","1103.10","11"
"2021-07","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_004","2","210.29","1.90","8170.00","53"
"2021-07","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_005","1","234.23","2.11","9100.00","102"
"2021-07","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_008","28","4174.72","37.62","162188.41","1143"
"2021-07","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_001","22","2139.72","19.24","82965.21","697"
"2021-07","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_002","225","23650.59","223.32","962881.53","8444"
"2021-07","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_003","53","5655.95","49.77","214470.89","1719"
"2021-07","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_004","11","833.24","8.07","34779.42","351"
