대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
"2022-01","00003","중랑센터","일일(회원)","M","50대","1","0.00","0.00","0.00","10"
"2022-01","00003","중랑센터","정기",\N,"50대","3","62.44","0.51","2190.00","24"
"2022-01","00003","중랑센터","정기","M","40대","5","106.18","0.73","3154.57","49"
"2022-01","00003","중랑센터","정기","M","50대","2","127.88","1.12","4819.63","23"
"2022-01","00005","상암센터 정비실","일일(회원)","M","40대","8","939.26","8.09","34880.23","300"
"2022-01","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"기타","12","643.20","5.80","24988.87","398"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"10대","3","98.10","1.13","4870.00","37"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"20대","32","2885.57","25.30","109063.92","1157"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"30대","14","293.30","3.04","13065.15","442"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"40대","14","1583.46","13.13","56620.25","569"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"기타","5","120.94","1.17","5090.00","122"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","","20대","4","202.06","2.07","8897.76","115"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","","30대","1","23.97","0.21","890.00","4"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","","40대","2","230.13","1.72","7386.10","60"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","","50대","1","64.62","0.46","1990.00","11"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","F","10대","6","663.07","6.18","26653.83","281"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","F","20대","31","1048.27","10.08","43422.74","499"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","F","30대","17","1520.45","15.14","65237.74","1101"
"2022-01","00102","102. 망원역 1번출구 앞","일일(회원)","F","50대","3","206.85","2.10","9039.23","115"
