대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
"2022-05","00003","중랑센터","일일(회원)","M","10대","1","134.11","1.21","5210.00","35"
"2022-05","00003","중랑센터","일일(회원)","M","50대","16","541.70","5.21","22386.64","114"
"2022-05","00003","중랑센터","정기",\N,"20대","27","1086.30","11.17","48124.88","294"
"2022-05","00003","중랑센터","정기",\N,"60대","3","79.79","0.72","3100.11","17"
"2022-05","00003","중랑센터","정기",\N,"기타","1","138.74","1.25","5390.00","40"
"2022-05","00003","중랑센터","정기","M","20대","2","30.89","0.17","722.39","11"
"2022-05","00003","중랑센터","정기","M","40대","17","988.30","7.50","32379.72","270"
"2022-05","00003","중랑센터","정기","M","50대","5","293.39","2.39","10349.75","81"
"2022-05","00003","중랑센터","정기","M","60대","1","30.61","0.25","1058.81","11"
"2022-05","00003","중랑센터","정기","M","기타","1","33.61","0.29","1230.00","5"
"2022-05","00005","상암센터 정비실","일일(회원)","M","40대","10","1333.94","11.49","49537.06","242"
"2022-05","00005","상암센터 정비실","정기","M","40대","1","22.71","0.22","955.96","46"
"2022-05","00011","위트콤공장","정기",\N,"40대","1","26.00","0.21","887.31","159"
"2022-05","00102","102. 망원역 1번출구 앞","단체",\N,"10대","1","56.37","0.51","2190.02","17"
"2022-05","00102","102. 망원역 1번출구 앞","단체",\N,"20대","13","664.53","5.65","24370.03","225"
"2022-05","00102","102. 망원역 1번출구 앞","단체",\N,"30대","5","332.35","2.60","11190.36","161"
"2022-05","00102","102. 망원역 1번출구 앞","단체",\N,"40대","1","77.87","0.86","3710.00","38"
"2022-05","00102","102. 망원역 1번출구 앞","단체","","30대","1","12.24","0.11","475.49","11"
"2022-05","00102","102. 망원역 1번출구 앞","단체","F","10대","5","712.13","6.47","27927.50","236"
"2022-05","00102","102. 망원역 1번출구 앞","단체","F","20대","12","1621.62","17.46","75299.40","653"
"2022-05","00102","102. 망원역 1번출구 앞","단체","F","30대","2","131.02","1.18","5090.00","42"
"2022-05","00102","102. 망원역 1번출구 앞","단체","F","기타","4","147.73","1.82","7807.66","82"
"2022-05","00102","102. 망원역 1번출구 앞","단체","M","10대","2","76.64","0.69","2977.60","113"
"2022-05","00102","102. 망원역 1번출구 앞","단체","M","20대","4","670.27","5.97","25733.13","222"
"2022-05","00102","102. 망원역 1번출구 앞","단체","M","30대","2","87.55","0.76","3300.00","27"
"2022-05","00102","102. 망원역 1번출구 앞","단체","M","40대","2","369.07","2.70","11650.00","73"
"2022-05","00102","102. 망원역 1번출구 앞","단체","M","기타","5","349.36","3.14","13506.62","225"
"2022-05","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"30대","1","53.96","0.49","2096.36","33"
"2022-05","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"기타","88","7993.76","72.04","310558.98","3162"
"2022-05","00102","102. 망원역 1번출구 앞","일일(비회원)","F","40대","1","35.78","0.32","1390.00","16"
"2022-05","00102","102. 망원역 1번출구 앞","일일(비회원)","M","기타","1","33.72","0.30","1310.00","32"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"10대","10","898.15","9.45","40756.15","333"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"20대","292","23641.24","223.64","964108.38","9599"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"30대","111","11329.57","101.07","435515.86","3960"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"40대","20","2187.07","18.24","78649.33","573"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"50대","7","932.83","8.17","35228.97","288"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"60대","1","95.50","0.86","3710.00","22"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"기타","23","1941.21","19.09","82308.61","1111"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","","10대","4","250.33","2.03","8780.00","57"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","","20대","33","2421.56","21.58","92981.43","962"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","","30대","7","548.70","5.12","22026.89","180"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","","50대","2","267.06","1.93","8360.00","69"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","10대","25","2611.72","24.45","105419.77","1076"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","20대","261","21574.00","215.70","929299.44","9962"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","30대","92","8839.06","89.39","385198.82","3519"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","40대","15","1713.78","16.53","71197.71","725"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","50대","8","867.30","8.48","36524.63","460"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","60대","2","167.03","1.60","6883.51","76"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","70대이상","2","239.21","1.92","8268.10","47"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","F","기타","36","2720.06","28.92","124718.41","1264"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","M","10대","22","2271.73","19.65","84717.01","865"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","M","20대","252","24114.36","200.96","866335.44","8218"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","M","30대","103","9722.82","81.46","351416.38","4483"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","M","40대","22","1696.84","14.08","60660.75","501"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","M","50대","11","1291.77","10.53","45403.01","492"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","M","60대","4","196.28","1.95","8442.89","74"
"2022-05","00102","102. 망원역 1번출구 앞","일일(회원)","M","기타","47","5420.86","45.90","197923.80","1514"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"10대","11","793.27","5.89","25368.80","327"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"20대","696","41486.25","381.22","1643317.23","15755"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"30대","370","21457.66","194.11","836672.49","8039"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"40대","148","15542.82","135.11","582425.96","4979"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"50대","71","4741.89","40.12","172963.44","2078"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"60대","10","311.44","2.67","11534.45","235"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"70대이상","1","16.96","0.16","690.72","9"
"2022-05","00102","102. 망원역 1번출구 앞","정기",\N,"기타","32","2862.70","27.15","117021.59","1094"
"2022-05","00102","102. 망원역 1번출구 앞","정기","","10대","1","36.75","0.30","1288.78","8"
