대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
2020-04,3,중랑센터,일일(회원),M,AGE_003,1,33.54,0.28,1210,11
2020-04,3,중랑센터,정기,\N,AGE_003,1,0,0,0,3
2020-04,3,중랑센터,정기,\N,AGE_008,3,0,0,0,23
2020-04,3,중랑센터,정기,M,AGE_005,8,3171.65,29.49,127130,173
2020-04,5,상암센터 정비실,일일(회원),\N,AGE_005,2,0.79,0.01,40,30
2020-04,5,상암센터 정비실,정기,\N,AGE_008,3,0,0,0,6
2020-04,10,위트콤,단체,\N,AGE_003,1,0,0,0,3
2020-04,10,위트콤,일일(회원),\N,AGE_001,2,0,0,0,39
2020-04,10,위트콤,일일(회원),\N,AGE_002,3,0,0,0,195
2020-04,10,위트콤,일일(회원),\N,AGE_004,1,0,0,0,17
2020-04,10,위트콤,일일(회원),F,AGE_002,1,0,0,0,12
2020-04,10,위트콤,일일(회원),M,AGE_002,1,0,0,0,55
2020-04,10,위트콤,정기,\N,AGE_002,11,0,0,0,283
2020-04,10,위트콤,정기,\N,AGE_003,18,121.75,1.17,5040,266
2020-04,10,위트콤,정기,\N,AGE_004,4,88.8,0.8,3450,207
2020-04,10,위트콤,정기,\N,AGE_005,1,171.66,1.5,6470,32
2020-04,10,위트콤,정기,\N,AGE_006,3,0,0,0,115
2020-04,10,위트콤,정기,\N,AGE_008,340,0,0,0,4104
2020-04,10,위트콤,정기,F,AGE_002,2,0,0,0,66
2020-04,10,위트콤,정기,F,AGE_004,4,71.56,0.64,2780,129
2020-04,10,위트콤,정기,M,AGE_002,6,0,0,0,72
2020-04,10,위트콤,정기,M,AGE_003,31,0,0,0,358
2020-04,10,위트콤,정기,M,AGE_004,4,0,0,0,46
2020-04,10,위트콤,정기,M,AGE_005,1,41.18,0.37,1600,7
2020-04,101,101. (구)합정동 주민센터,단체,\N,AGE_002,8,1050.97,11.2,48270,413
2020-04,101,101. (구)합정동 주민센터,단체,\N,AGE_003,2,117.31,0.75,3220,49
2020-04,101,101. (구)합정동 주민센터,단체,\N,AGE_004,2,0,0,0,144
2020-04,101,101. (구)합정동 주민센터,단체,F,AGE_002,2,242.19,2.58,11120,117
2020-04,101,101. (구)합정동 주민센터,단체,M,AGE_002,1,0,0,0,59
2020-04,101,101. (구)합정동 주민센터,일일(비회원),\N,AGE_008,3,1048.39,9.45,40730,96
2020-04,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_001,4,315.1,3.29,14220,228
2020-04,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_002,73,9049.77,84.9,365960,4360
2020-04,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_003,14,1590.57,14.29,61640,938
2020-04,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_005,4,168.03,1.23,5290,208
2020-04,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_008,1,0,0,0,68
2020-04,101,101. (구)합정동 주민센터,일일(회원),,AGE_002,8,2878.15,30.62,132000,449
2020-04,101,101. (구)합정동 주민센터,일일(회원),,AGE_003,1,113.34,1.23,5300,37
2020-04,101,101. (구)합정동 주민센터,일일(회원),F,AGE_002,24,2191.18,22.19,95600,1271
2020-04,101,101. (구)합정동 주민센터,일일(회원),F,AGE_003,9,1147.89,12.86,55470,466
2020-04,101,101. (구)합정동 주민센터,일일(회원),F,AGE_004,2,269.44,2.63,11340,107
2020-04,101,101. (구)합정동 주민센터,일일(회원),M,AGE_001,2,596.45,4.48,19310,164
2020-04,101,101. (구)합정동 주민센터,일일(회원),M,AGE_002,13,1002.77,8.04,34690,565
2020-04,101,101. (구)합정동 주민센터,일일(회원),M,AGE_003,10,1099.43,8.42,36310,459
2020-04,101,101. (구)합정동 주민센터,일일(회원),M,AGE_004,1,0,0,0,44
2020-04,101,101. (구)합정동 주민센터,정기,\N,AGE_001,1,0,0,0,56
2020-04,101,101. (구)합정동 주민센터,정기,\N,AGE_002,149,14126.39,128.57,554140,5247
