"대여일자","대여소번호","대여소명","대여구분코드","성별","연령대코드","이용건수","운동량","탄소량","이동거리(M)","이용시간(분)"
"2020-08","00003","중랑센터","일일(회원)","M","AGE_003","1","34.10","0.29","1230.00","18"
"2020-08","00003","중랑센터","정기",\N,"AGE_004","1","0.00","0.00","0.00","26"
"2020-08","00003","중랑센터","정기","F","AGE_004","1","0.00","0.00","0.00","29"
"2020-08","00003","중랑센터","정기","M","AGE_002","3","0.00","0.00","0.00","55"
"2020-08","00003","중랑센터","정기","M","AGE_005","5","0.00","0.00","0.00","56"
"2020-08","00005","상암센터 정비실","일일(회원)",\N,"AGE_005","3","24.95","0.29","1260.00","130"
"2020-08","00005","상암센터 정비실","일일(회원)","M","AGE_004","6","395.62","3.62","15610.00","197"
"2020-08","00005","상암센터 정비실","정기","F","AGE_003","2","0.00","0.00","0.00","14"
"2020-08","00005","상암센터 정비실","정기","M","AGE_003","1","0.00","0.00","0.00","6"
"2020-08","00005","상암센터 정비실","정기","M","AGE_005","1",\N,\N,"0.00","50"
"2020-08","00010","위트콤","일일(비회원)",\N,"AGE_008","1","0.00","0.00","0.00","202"
"2020-08","00010","위트콤","일일(회원)",\N,"AGE_002","1",\N,\N,"0.00","60"
"2020-08","00010","위트콤","정기",\N,"AGE_001","1","0.00","0.00","0.00","13"
"2020-08","00010","위트콤","정기",\N,"AGE_002","2",\N,\N,"0.00","103"
"2020-08","00010","위트콤","정기",\N,"AGE_003","4","0.00","0.00","0.00","29"
"2020-08","00010","위트콤","정기",\N,"AGE_004","1",\N,\N,"0.00","115"
"2020-08","00010","위트콤","정기",\N,"AGE_008","36","8.59","0.08","333.59","1898"
"2020-08","00010","위트콤","정기","","AGE_002","1","0.00","0.00","0.00","6"
"2020-08","00010","위트콤","정기","M","AGE_002","1",\N,\N,"0.00","8"
"2020-08","00010","위트콤","정기","M","AGE_003","12","0.00","0.00","0.00","148"
"2020-08","00010","위트콤","정기","M","AGE_004","10","0.00","0.00","0.00","74"
"2020-08","00101","101. (구)합정동 주민센터","단체","F","AGE_002","4","0.00","0.00","0.00","264"
"2020-08","00101","101. (구)합정동 주민센터","단체","M","AGE_001","2","0.00","0.00","0.00","90"
"2020-08","00101","101. (구)합정동 주민센터","일일(비회원)",\N,"AGE_008","4","405.92","3.66","15770.00","188"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_001","5","285.37","2.61","11260.00","238"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_002","26","582.07","5.34","23040.00","1148"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_003","13","498.68","4.68","20170.00","600"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_004","2","0.00","0.00","0.00","71"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","","AGE_002","4","0.00","0.00","0.00","142"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","","AGE_003","1","0.00","0.00","0.00","58"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","","AGE_004","1","0.00","0.00","0.00","6"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_002","15","729.15","9.34","40270.00","740"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_003","3","0.00","0.00","0.00","141"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_004","1","0.00","0.00","0.00","59"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_001","4","0.00","0.00","0.00","155"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_002","13","607.62","5.50","23690.00","586"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_003","6","0.00","0.00","0.00","121"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_004","1","0.00","0.00","0.00","20"
"2020-08","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_005","1","157.10","1.28","5510.00","41"
"2020-08","00101","101. (구)합정동 주민센터","정기",\N,"AGE_001","1","0.00","0.00","0.00","25"
"2020-08","00101","101. (구)합정동 주민센터","정기",\N,"AGE_002","56","1477.33","10.65","45900.00","1593"
"2020-08","00101","101. (구)합정동 주민센터","정기",\N,"AGE_003","26","1113.57","12.24","52770.00","661"
"2020-08","00101","101. (구)합정동 주민센터","정기",\N,"AGE_004","5","1405.40","12.29","52970.00","90"
"2020-08","00101","101. (구)합정동 주민센터","정기",\N,"AGE_005","32","46.40","0.29","1260.00","938"
"2020-08","00101","101. (구)합정동 주민센터","정기","","AGE_002","15","57.76","0.57","2420.00","515"
