대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
2020-03,3,중랑센터,일일(회원),M,AGE_003,1,0,0,0,2
2020-03,3,중랑센터,정기,M,AGE_005,2,1419.04,13.2,56880,31
2020-03,5,상암센터 정비실,일일(회원),\N,AGE_005,7,4.18,0.02,210,114
2020-03,5,상암센터 정비실,일일(회원),M,AGE_004,4,182.98,1.68,7220,90
2020-03,10,위트콤,단체,\N,AGE_003,15,0,0,0,195
2020-03,10,위트콤,단체,M,AGE_003,3,0,0,0,6
2020-03,10,위트콤,단체,M,AGE_004,12,0,0,0,289
2020-03,10,위트콤,일일(비회원),\N,AGE_008,1,\N,\N,0,11
2020-03,10,위트콤,일일(회원),\N,AGE_004,3,0,0,0,59
2020-03,10,위트콤,일일(회원),\N,AGE_005,1,\N,\N,0,17
2020-03,10,위트콤,정기,\N,AGE_002,4,0,0,0,12
2020-03,10,위트콤,정기,\N,AGE_003,10,0,0,0,183
2020-03,10,위트콤,정기,\N,AGE_004,3,0,0,0,15
2020-03,10,위트콤,정기,\N,AGE_008,183,194.66,1.75,7562.26,8161
2020-03,10,위트콤,정기,M,AGE_002,2,\N,\N,0,10
2020-03,10,위트콤,정기,M,AGE_003,31,0,0,0,504
2020-03,10,위트콤,정기,M,AGE_004,3,0,0,0,27
2020-03,10,위트콤,정기,M,AGE_005,1,\N,\N,0,12
2020-03,101,101. (구)합정동 주민센터,단체,\N,AGE_002,2,289.06,2.6,11230,106
2020-03,101,101. (구)합정동 주민센터,일일(비회원),\N,AGE_008,4,775.3,6.98,30120,287
2020-03,101,101. (구)합정동 주민센터,일일(비회원),F,AGE_008,2,185.33,1.67,7200,94
2020-03,101,101. (구)합정동 주민센터,일일(비회원),M,AGE_008,2,156.24,1.41,6070,90
2020-03,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_001,1,217.64,2.13,9160,108
2020-03,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_002,41,9062.28,78.37,337821.59,2142
2020-03,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_003,16,2459.62,22.21,95797.08,940
2020-03,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_004,1,101.67,0.92,3950,50
2020-03,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_005,2,285.67,2.21,9490,151
2020-03,101,101. (구)합정동 주민센터,일일(회원),,AGE_002,11,1352.72,11.72,50550,315
2020-03,101,101. (구)합정동 주민센터,일일(회원),,AGE_003,1,290.32,2.15,9280,82
2020-03,101,101. (구)합정동 주민센터,일일(회원),F,AGE_001,2,45.48,0.6,2610,33
2020-03,101,101. (구)합정동 주민센터,일일(회원),F,AGE_002,19,3106.61,31.94,137662.05,1102
2020-03,101,101. (구)합정동 주민센터,일일(회원),F,AGE_003,3,385.68,4,17220,188
2020-03,101,101. (구)합정동 주민센터,일일(회원),F,AGE_004,4,324.96,3.14,13530,142
2020-03,101,101. (구)합정동 주민센터,일일(회원),M,AGE_002,7,1012.87,8.27,35640,423
2020-03,101,101. (구)합정동 주민센터,일일(회원),M,AGE_003,8,6653.04,47.96,206730,183
2020-03,101,101. (구)합정동 주민센터,일일(회원),M,AGE_004,1,151.07,1.26,5450,55
2020-03,101,101. (구)합정동 주민센터,정기,\N,AGE_001,2,176.68,1.44,6220,26
2020-03,101,101. (구)합정동 주민센터,정기,\N,AGE_002,140,11518.58,103.45,445810,2830
2020-03,101,101. (구)합정동 주민센터,정기,\N,AGE_003,19,1395.36,9.96,42990,401
2020-03,101,101. (구)합정동 주민센터,정기,\N,AGE_004,7,688.08,5.35,23010,163
2020-03,101,101. (구)합정동 주민센터,정기,\N,AGE_005,4,403.09,3.29,14150,119
2020-03,101,101. (구)합정동 주민센터,정기,\N,AGE_008,2,391.76,3.53,15220,122
2020-03,101,101. (구)합정동 주민센터,정기,,AGE_002,16,1264.47,12.02,51760,179
2020-03,101,101. (구)합정동 주민센터,정기,,AGE_003,3,136.66,1.15,4930,30
2020-03,101,101. (구)합정동 주민센터,정기,F,AGE_001,3,105.58,1.4,6060,59
2020-03,101,101. (구)합정동 주민센터,정기,F,AGE_002,32,4096.58,43.2,186198.38,969
2020-03,101,101. (구)합정동 주민센터,정기,F,AGE_003,62,4306.61,44.43,191447.98,1222
2020-03,101,101. (구)합정동 주민센터,정기,F,AGE_004,21,7163.74,72.36,311900,635
2020-03,101,101. (구)합정동 주민센터,정기,F,AGE_005,5,687.61,6.83,29440,302
2020-03,101,101. (구)합정동 주민센터,정기,M,AGE_002,62,7753.85,53.61,231139.91,1169
