연월,자치구,연도,월,PM_사고건수,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해사고건수,PM_피해사고건수,야간사고건수
2019-04,동작구,2019,4,1,0,0,0,1,1,1,0,1,0,0
2019-04,마포구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,서대문구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,서초구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,성동구,2019,4,1,0,0,0,1,1,1,0,1,0,1
2019-04,성북구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,송파구,2019,4,1,0,0,1,0,1,1,0,0,1,1
2019-04,양천구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,영등포구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,용산구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,은평구,2019,4,1,0,0,1,0,1,1,0,0,1,1
2019-04,종로구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-04,중구,2019,4,1,0,0,1,0,1,1,0,1,0,0
2019-04,중랑구,2019,4,0,0,0,0,0,0,0,0,0,0,0
2019-05,강남구,2019,5,5,0,1,4,0,5,5,1,2,3,2
2019-05,강동구,2019,5,1,0,1,0,0,1,1,1,0,1,0
2019-05,강북구,2019,5,1,0,1,0,0,1,1,1,0,1,0
2019-05,강서구,2019,5,1,0,1,0,0,1,1,1,0,1,0
2019-05,관악구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,광진구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,구로구,2019,5,4,0,0,4,0,4,4,0,0,4,3
2019-05,금천구,2019,5,1,0,0,1,0,1,1,0,0,1,1
2019-05,노원구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,도봉구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,동대문구,2019,5,1,0,0,1,0,1,1,0,1,0,0
2019-05,동작구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,마포구,2019,5,1,0,0,1,0,1,1,0,0,1,0
2019-05,서대문구,2019,5,1,0,0,1,0,1,1,0,0,1,1
2019-05,서초구,2019,5,1,0,0,1,0,1,1,0,0,1,1
2019-05,성동구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,성북구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,송파구,2019,5,2,0,2,0,0,2,2,2,0,2,1
2019-05,양천구,2019,5,1,0,0,0,1,1,1,0,1,0,0
2019-05,영등포구,2019,5,1,0,1,0,0,1,1,1,1,0,0
2019-05,용산구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,은평구,2019,5,1,0,1,0,0,1,1,1,1,0,1
2019-05,종로구,2019,5,0,0,0,0,0,0,0,0,0,0,0
2019-05,중구,2019,5,1,0,0,1,0,1,1,0,0,1,1
2019-05,중랑구,2019,5,1,0,0,1,0,1,1,0,1,0,0
2019-06,강남구,2019,6,5,0,1,3,1,5,5,1,3,2,1
2019-06,강동구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,강북구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,강서구,2019,6,1,0,0,1,0,1,1,0,1,0,1
2019-06,관악구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,광진구,2019,6,1,0,0,1,0,1,1,0,1,0,0
2019-06,구로구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,금천구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,노원구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,도봉구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,동대문구,2019,6,1,0,1,0,0,1,1,1,0,1,0
