연도,자치구,PM_사고건수,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해사고건수,PM_피해사고건수,야간사고건수
2022,중구,13,0,4,8,2,14,14,4,11,2,7
2022,중랑구,16,0,7,8,2,17,17,7,9,7,10
2023,강남구,140,1,25,94,26,145,146,26,114,26,59
2023,강동구,16,0,5,15,1,21,21,5,10,6,4
2023,강북구,14,0,4,9,3,16,16,4,10,4,9
2023,강서구,25,0,6,15,7,28,28,6,17,8,10
2023,관악구,22,0,5,16,2,23,23,5,18,4,8
2023,광진구,24,0,5,18,3,26,26,5,15,10,11
2023,구로구,26,0,6,20,8,34,34,6,19,7,17
2023,금천구,16,0,6,11,3,20,20,6,15,1,7
2023,노원구,39,0,13,22,6,41,41,13,30,9,16
2023,도봉구,14,0,5,5,5,15,15,5,9,5,9
2023,동대문구,23,0,8,8,7,23,23,8,18,6,10
2023,동작구,22,0,7,12,3,22,22,7,15,7,12
2023,마포구,28,0,10,17,3,30,30,10,24,4,12
2023,서대문구,14,0,8,4,3,15,15,8,10,4,6
2023,서초구,37,1,15,22,4,41,42,16,29,8,18
2023,성동구,10,1,4,5,0,9,10,5,6,4,0
2023,성북구,19,1,5,7,6,18,19,6,15,4,10
2023,송파구,74,0,28,46,12,86,86,28,54,20,29
2023,양천구,7,0,2,6,0,8,8,2,4,3,3
2023,영등포구,25,0,10,14,3,27,27,10,18,7,9
2023,용산구,10,1,2,8,0,10,11,3,8,2,5
2023,은평구,12,0,2,9,2,13,13,2,6,6,6
2023,종로구,21,0,4,19,1,24,24,4,17,4,8
2023,중구,15,0,3,13,2,18,18,3,10,5,8
2023,중랑구,15,0,5,10,2,17,17,5,9,6,3
2024,강남구,124,0,22,89,21,132,132,22,94,28,45
2024,강동구,25,0,8,17,2,27,27,8,16,7,11
2024,강북구,10,0,2,10,0,12,12,2,9,1,5
2024,강서구,35,0,9,20,10,39,39,9,23,10,16
2024,관악구,25,0,8,19,2,29,29,8,16,8,14
2024,광진구,16,0,6,10,0,16,16,6,12,4,7
2024,구로구,18,0,5,12,2,19,19,5,10,4,7
2024,금천구,16,0,1,14,3,18,18,1,10,2,11
2024,노원구,32,0,6,27,1,34,34,6,23,6,12
2024,도봉구,11,0,4,6,3,13,13,4,8,1,4
2024,동대문구,22,0,5,17,4,26,26,5,13,6,11
2024,동작구,17,0,5,8,8,21,21,5,15,3,11
2024,마포구,25,0,1,19,5,25,25,1,18,5,11
2024,서대문구,7,0,1,5,2,8,8,1,3,4,3
2024,서초구,36,1,14,29,1,44,45,15,26,5,13
2024,성동구,15,0,3,14,1,18,18,3,9,4,5
2024,성북구,11,0,2,8,1,11,11,2,6,3,7
2024,송파구,80,0,19,60,18,97,97,19,56,21,36
2024,양천구,26,0,4,19,5,28,28,4,17,6,16
2024,영등포구,24,0,9,14,5,28,28,9,16,6,8
2024,용산구,4,0,1,3,0,4,4,1,2,2,3
2024,은평구,24,0,6,14,6,26,26,6,15,10,10
2024,종로구,12,0,0,11,2,13,13,0,8,3,3
2024,중구,11,0,4,6,3,13,13,4,8,2,3
2024,중랑구,20,0,4,10,6,20,20,4,15,5,9
