사고ID,연월,연도,월,자치구,주야,사고내용,사고유형,사고유형_대분류,사고유형_소분류,법규위반,노면상태,기상상태,도로형태,도로형태_대분류,도로형태_소분류,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해여부,PM_피해여부,PM_역할,가해운전자_차종,가해운전자_성별,가해운전자_연령대,가해운전자_상해정도,피해운전자_차종,피해운전자_성별,피해운전자_연령대,피해운전자_상해정도,원본파일
2019054538,2019-04,2019,4,강동구,야간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,N,Y,피해,이륜,남,20세 이하,상해없음,개인형이동수단(PM),남,51-60세,경상,2019.xlsx
2019063364,2019-04,2019,4,도봉구,야간,경상사고,차대차 - 기타,차대차,기타,기타,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승용,남,61-64세,상해없음,개인형이동수단(PM),남,51-60세,경상,2019.xlsx
2019055933,2019-04,2019,4,동작구,주간,부상신고사고,차대사람 - 보도통행중,차대사람,보도통행중,안전운전불이행,건조,맑음,기타 - 기타,기타,기타,0,0,0,1,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,65세 이상,부상신고,2019.xlsx
2019066651,2019-04,2019,4,성동구,야간,부상신고사고,차대사람 - 보도통행중,차대사람,보도통행중,기타,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,0,0,1,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,12세 이하,부상신고,2019.xlsx
2019053264,2019-04,2019,4,송파구,야간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,젖음/습기,흐림,교차로 - 교차로횡단보도내,교차로,교차로횡단보도내,0,0,1,0,1,1,0,N,Y,피해,기타불명,기타불명,기타불명,기타불명,개인형이동수단(PM),여,21-30세,경상,2019.xlsx
2019052641,2019-04,2019,4,은평구,야간,경상사고,차대차 - 충돌,차대차,충돌,신호위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승용,남,41-50세,상해없음,개인형이동수단(PM),남,31-40세,경상,2019.xlsx
2019066975,2019-04,2019,4,중구,주간,경상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,31-40세,경상,승용,남,21-30세,상해없음,2019.xlsx
2019077878,2019-05,2019,5,강남구,주간,경상사고,차대차 - 기타,차대차,기타,안전거리미확보,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,N,Y,피해,승용,여,51-60세,상해없음,개인형이동수단(PM),남,31-40세,경상,2019.xlsx
2019082649,2019-05,2019,5,강남구,주간,경상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,교차로,교차로횡단보도내,0,0,1,0,1,1,0,N,Y,피해,화물,남,31-40세,상해없음,개인형이동수단(PM),여,21-30세,경상,2019.xlsx
2019082952,2019-05,2019,5,강남구,야간,경상사고,차대사람 - 횡단중,차대사람,횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),여,20세 이하,상해없음,보행자,남,31-40세,경상,2019.xlsx
2019084127,2019-05,2019,5,강남구,주간,중상사고,차대차 - 기타,차대차,기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,교차로,교차로횡단보도내,0,1,0,0,1,1,1,N,Y,피해,승용,남,31-40세,상해없음,개인형이동수단(PM),남,31-40세,중상,2019.xlsx
2019084421,2019-05,2019,5,강남구,야간,경상사고,차대사람 - 보도통행중,차대사람,보도통행중,기타,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,12세 이하,경상,2019.xlsx
2019087301,2019-05,2019,5,강동구,주간,중상사고,차대차 - 충돌,차대차,충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,1,0,0,1,1,1,N,Y,피해,화물,남,51-60세,상해없음,개인형이동수단(PM),남,31-40세,중상,2019.xlsx
2019085396,2019-05,2019,5,강북구,주간,중상사고,차대차 - 추돌,차대차,추돌,기타,건조,맑음,단일로 - 기타,단일로,기타,0,1,0,0,1,1,1,N,Y,피해,승용,남,41-50세,상해없음,개인형이동수단(PM),여,21-30세,중상,2019.xlsx
2019071598,2019-05,2019,5,강서구,주간,중상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,기타,맑음,교차로 - 교차로횡단보도내,교차로,교차로횡단보도내,0,1,0,0,1,1,1,N,Y,피해,화물,남,41-50세,상해없음,개인형이동수단(PM),남,21-30세,중상,2019.xlsx
2019076507,2019-05,2019,5,구로구,주간,경상사고,차대차 - 추돌,차대차,추돌,기타,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,0,1,0,1,1,0,N,Y,피해,승용,남,65세 이상,상해없음,개인형이동수단(PM),여,31-40세,경상,2019.xlsx
2019079563,2019-05,2019,5,구로구,야간,경상사고,차대차 - 충돌,차대차,충돌,신호위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승용,남,41-50세,상해없음,개인형이동수단(PM),남,61-64세,경상,2019.xlsx
2019085220,2019-05,2019,5,구로구,야간,경상사고,차대차 - 기타,차대차,기타,안전거리미확보,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,이륜,남,21-30세,경상,개인형이동수단(PM),남,51-60세,상해없음,2019.xlsx
2019087955,2019-05,2019,5,구로구,야간,경상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,N,Y,피해,승용,남,31-40세,상해없음,개인형이동수단(PM),남,31-40세,경상,2019.xlsx
2019082221,2019-05,2019,5,금천구,야간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,0,1,0,1,1,0,N,Y,피해,화물,남,41-50세,상해없음,개인형이동수단(PM),남,21-30세,경상,2019.xlsx
2019081293,2019-05,2019,5,동대문구,주간,경상사고,차대사람 - 기타,차대사람,기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,교차로,교차로횡단보도내,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,61-64세,경상,2019.xlsx
2019070673,2019-05,2019,5,마포구,주간,경상사고,차대차 - 추돌,차대차,추돌,안전거리미확보,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,N,Y,피해,승용,남,51-60세,상해없음,개인형이동수단(PM),남,41-50세,경상,2019.xlsx
2019068598,2019-05,2019,5,서대문구,야간,경상사고,차대차 - 기타,차대차,기타,신호위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승합,남,41-50세,상해없음,개인형이동수단(PM),남,41-50세,경상,2019.xlsx
2019072374,2019-05,2019,5,서초구,야간,경상사고,차대차 - 기타,차대차,기타,신호위반,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,N,Y,피해,승용,여,31-40세,상해없음,개인형이동수단(PM),남,21-30세,경상,2019.xlsx
2019072667,2019-05,2019,5,송파구,주간,중상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,1,0,0,1,1,1,N,Y,피해,승용,남,31-40세,상해없음,개인형이동수단(PM),여,41-50세,중상,2019.xlsx
2019072921,2019-05,2019,5,송파구,야간,중상사고,차대차 - 기타,차대차,기타,신호위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,1,0,0,1,1,1,N,Y,피해,승용,여,51-60세,상해없음,개인형이동수단(PM),여,21-30세,중상,2019.xlsx
2019078599,2019-05,2019,5,양천구,주간,부상신고사고,차대차 - 기타,차대차,기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,0,0,1,1,1,0,Y,N,가해,개인형이동수단(PM),여,20세 이하,부상신고,화물,남,51-60세,상해없음,2019.xlsx
