'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-05','1814',' 두산위브아파트 옆 상가건물 앞','일일(회원)','F','50대',1,252.33,2.46,10620,101
'2018-05','1820',' 신한은행 시흥대로금융센터지점','일일(회원)','F','50대',3,268.9,2.56,11030,115
'2018-05','220',' 미성아파트 A동 앞','일일(회원)','F','50대',3,388.92,3.87,16700,106
'2018-05','1823',' 상신정비공업 앞','일일(회원)','F','50대',3,379.26,3.24,14000,110
'2018-05','1824',' 독산근린공원 입구','일일(회원)','F','50대',7,1066.91,11.07,47670,358
'2018-05','1828',' 한양수자인아파트 앞','일일(회원)','F','50대',2,207.87,1.56,6730,55
'2018-05','1830',' 빅마켓 금천점 앞','일일(회원)','F','50대',1,252.65,2.55,11000,81
'2018-05','1833',' 독산역 1번출구 앞 자전거보관소','일일(회원)','F','50대',1,45.46,0.38,1640,46
'2018-05','215',' 여의도고교 앞','일일(회원)','F','50대',2,279.55,3.28,14140,142
'2018-05','1819',' 금천구청 앞 자전거거치대','일일(회원)','F','50대',1,339.56,2.93,12610,220
'2018-05','1503',' 이디야 커피 수유역점 앞','일일(회원)','F','50대',5,300.23,2.83,12170,110
'2018-05','1525',' 미아동 복합청사','일일(회원)','F','50대',1,13.97,0.15,630,17
'2018-05','1515',' 송천동 주민센터','일일(회원)','F','50대',1,439.38,3.96,17070,117
'2018-05','216',' 삼부아파트1동 앞','일일(회원)','F','50대',2,619.08,8.01,34520,192
'2018-05','1520',' 성실교회','일일(회원)','F','50대',1,92.19,0.9,3880,51
'2018-05','1519',' 세븐일레븐 수유장미원점 앞','일일(회원)','F','50대',1,208.33,2.54,10960,59
'2018-05','1321',' 국민은행 종암동지점 앞','일일(회원)','F','50대',2,34.75,0.24,1030,7
'2018-05','1703',' 도봉산광역환승센터앞 ','일일(회원)','F','50대',6,1443.73,13.98,60260,327
'2018-05','1827',' 독산보도육교 앞 자전거 보관소','일일(회원)','F','50대',11,1780.01,18.31,78940,554
'2018-05','1904',' 도림천역 1번 출구 앞','일일(회원)','F','50대',1,253.54,2.29,9850,87
'2018-05','1906',' 신도림역 1번 출구 앞','일일(회원)','F','50대',6,1212.35,10.33,44590,278
'2018-05','1908',' 해원리바파크 육교 밑','일일(회원)','F','50대',3,187.01,1.98,8570,72
'2018-05','1911',' 구로디지털단지역 앞','일일(회원)','F','50대',1,0,0,0,0
'2018-05','221',' 여의도초교 앞','일일(회원)','F','50대',1,137.76,1.03,4460,19
'2018-05','1913',' 구로리공원','일일(회원)','F','50대',1,7.46,0.07,290,5
'2018-05','1916',' 구로중학교앞','일일(회원)','F','50대',2,555.78,4.91,21150,157
'2018-05','1920',' 서울미래초등학교 사거리','일일(회원)','F','50대',1,57.92,0.52,2250,17
'2018-05','1929',' 고척근린공원 고척도서관 앞','일일(회원)','F','50대',2,138.5,1.42,6090,57
'2018-05','1933',' 개봉푸르지오아파트 상가','일일(회원)','F','50대',1,23.94,0.22,930,29
