'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-06','1268',' 몽촌토성역 1번출구 옆',,'',,1,32.22,3.15,13560,57
'2018-06','1960',' 화광신문사 앞',,'',,1,99.79,0.78,3360,13
'2018-06','829',' 베르가모앞',,'',,1,116.47,1.2,5160,58
'2018-06','1454',' 한국전력공사(동대문 중랑지사)',,'',,1,175.56,1.9,8210,52
'2018-06','2384',' 자곡사거리',,'',,1,340.96,2.85,12300,57
'2018-06','258',' 신길역3번출구',,'',,1,0,0,0,30
'2018-06','129',' 신촌역(2호선) 6번출구 옆',,'',,1,639.13,4.74,20430,95
'2018-06','719',' 홍익병원앞 교차로',,'',,1,58.69,0.53,2280,33
'2018-06','817',' 삼각지역 4번출구 앞',,'',,1,43.48,0.42,1830,17
'2018-06','219',' 롯데캐슬엠파이어 옆',,'',,1,252.6,2,8620,42
'2018-06','1625',' 상계역(4번출구)',,'',,1,118.2,1.33,5740,46
'2018-06','2248',' 서초리슈빌S 글로벌 앞',,'',,1,212.73,1.58,6800,54
'2018-06','500',' 어린이대공원역 3번출구 앞',,'',,1,139.77,1.26,5430,40
'2018-06','502',' 뚝섬유원지역 1번출구 앞',,'',,1,286.7,3.36,14480,111
'2018-06','1529',' 미아동 한국전력공사',,'F','~10대',1,79.36,0.77,3340,30
'2018-06','525',' 한양대병원사거리',,'F','~10대',1,327.06,3.3,14240,111
'2018-06','731',' 서울시 도로환경관리센터',,'F','20대',1,154.67,1.54,6620,79
'2018-06','1027',' 프라자 아파트 앞',,'F','20대',1,75.34,0.76,3280,21
'2018-06','1446',' 중랑전화국 교차로',,'F','20대',1,374.26,3.37,14540,108
'2018-06','1714',' 도봉문화정보도서관 삼거리',,'F','20대',1,0,0,0,0
'2018-06','1351',' SK제삼주유소 앞',,'F','20대',1,0,0,0,0
'2018-06','1984',' 구로구청',,'F','20대',1,0,0,0,0
'2018-06','2293',' SPC 앞',,'F','20대',1,0,0,0,0
'2018-06','252',' 보라매역4번출구',,'F','20대',1,156.92,1.8,7770,56
'2018-06','102',' 망원역 1번출구 앞',,'F','20대',1,87.77,0.79,3410,30
'2018-06','230',' 영등포구청역 1번출구',,'F','20대',1,0,0,0,0
'2018-06','825',' 서빙고동 주민센터 앞',,'F','20대',1,79.83,0.84,3600,54
'2018-06','911',' 은평평화공원(역촌역4번출구)',,'F','20대',1,0,0,0,50
'2018-06','1011',' LIGA 아파트 앞',,'F','20대',1,0,0,0,4
'2018-06','1132',' 등촌역 7번출구',,'F','20대',1,100.93,0.82,3540,49
'2018-06','1146',' 곰달래사거리',,'F','20대',1,119.95,1.08,4660,45
'2018-06','1209',' 잠실나루역 (2번 출구 쪽)',,'F','20대',1,0,0,0,0
'2018-06','1610',' 화랑대역 2번출구 앞',,'F','20대',1,220.58,2.44,10510,58
'2018-06','1705',' 도봉구청 정문앞',,'F','20대',2,164.8,2.01,8670,73
'2018-06','1906',' 신도림역 1번 출구 앞',,'F','20대',1,113,1.02,4390,27
'2018-06','1930',' 개봉지구대 개봉치안센터',,'F','20대',1,33.36,0.25,1080,18
'2018-06','105',' 합정역 5번출구 앞',,'F','20대',1,285.69,3.49,15030,99
'2018-06','2360',' 도곡1동 주민센터 교차로',,'F','20대',1,0,0,0,50
'2018-06','1971',' 오정초교 앞 보도육교',,'F','30대',1,0,0,0,50
'2018-06','1160',' 양천향교역 7번출구앞',,'F','30대',1,377.61,3.4,14670,70
'2018-06','117',' 홍은사거리',,'F','30대',1,99.22,1.08,4640,68
'2018-06','380',' CJ제일제당 앞',,'F','30대',1,327.93,2.96,12740,86
'2018-06','186',' 월드컵공원',,'F','30대',1,192.54,1.74,7480,113
'2018-06','816',' 신용산역 6번출구 앞',,'F','30대',1,195.15,1.63,7040,50
'2018-06','1113',' 서남환경공원 버스정류장',,'F','30대',1,0,0,0,110
'2018-06','2102',' 봉림교 교통섬',,'F','30대',1,0,0,0,50
'2018-06','2325',' 대치동 버거킹대치점',,'F','30대',1,0,0,0,3
'2018-06','2141',' 미림여고입구 교차로',,'F','30대',1,135.36,1.47,6330,27
'2018-06','1641',' 한내근린공원 남측',,'F','30대',1,1458.47,17.09,73660,21
'2018-06','635',' 시조사 앞 (청량고정문 옆)',,'F','40대',1,177.49,1.93,8300,46
'2018-06','642',' 신답역 사거리',,'F','40대',1,0,0,0,0
'2018-06','129',' 신촌역(2호선) 6번출구 옆',,'F','50대',1,139.39,1.48,6400,62
'2018-06','1904',' 도림천역 1번 출구 앞',,'M','~10대',1,131.86,1.15,4970,49
'2018-06','1351',' SK제삼주유소 앞',,'M','20대',1,256.85,2.51,10810,55
'2018-06','2165',' JK장평타워',,'M','20대',1,62.65,0.52,2260,11
'2018-06','349',' 사직동주민센터',,'M','20대',1,30.63,0.28,1190,21
'2018-06','147',' 마포역 4번출구 뒤',,'M','20대',1,0,0,0,30
'2018-06','232',' 양평우림 이비즈센타 앞',,'M','20대',1,196.57,1.69,7300,49
'2018-06','248',' 초원아파트 앞',,'M','20대',1,84.94,0.77,3300,19
'2018-06','559',' 왕십리역 4번 출구 건너편',,'M','20대',2,46.57,0.45,1960,12
'2018-06','579',' 마장역 4번출구',,'M','20대',1,52.92,0.37,1610,13
'2018-06','623',' 서울시립대 정문 앞',,'M','20대',1,299.52,2.66,11460,73
'2018-06','1001',' 광진교 남단 사거리(디지털프라자앞)',,'M','20대',1,71.03,0.55,2360,13
'2018-06','1013',' 강동구청역 1번 출입구',,'M','20대',1,88.85,0.64,2770,50
'2018-06','1119',' 염창동 한마음아파트앞(염창동 빛나는 음악학원앞)',,'M','20대',1,0,0,0,0
'2018-06','1205',' 종합운동장역 4번출구',,'M','20대',1,0,0,0,0
'2018-06','1611',' 과기대 입구(우)',,'M','20대',1,188.42,1.7,7320,51
'2018-06','1702',' 녹천역 1번출구 앞',,'M','20대',1,432.43,3.02,13000,87
'2018-06','2016',' 신대방삼거리역 3번출구쪽',,'M','20대',1,142.08,1.28,5520,39
'2018-06','2037',' 동작역 5번출구 동작주차공원',,'M','20대',1,106.05,0.96,4120,71
'2018-06','2135',' 신림역 5번출구',,'M','20대',1,44.07,0.37,1590,10
'2018-06','2048',' 삼일초등학교 인근',,'M','20대',1,60.59,0.47,2040,16
'2018-06','1608',' 공릉역 1번 출구 앞',,'M','20대',1,170.83,1.67,7190,53
'2018-06','2141',' 미림여고입구 교차로',,'M','20대',1,709.16,3.78,16280,49
'2018-06','1248',' 방이초등학교',,'M','20대',1,162.64,1.29,5550,41
'2018-06','2026',' 흑석역 4번출구',,'M','20대',1,153.76,1.32,5710,49
'2018-06','2359',"' 국립국악중,고교 정문 맞은편'",,'M','20대',1,495.25,4.03,17370,88
'2018-06','502',' 뚝섬유원지역 1번출구 앞',,'M','20대',1,199.52,1.74,7520,49
'2018-06','1166',' 강서구립등빛도서관',,'M','30대',1,0,0,0,0
'2018-06','1288',' 문정중교 사거리',,'M','30대',1,101.99,0.7,3030,14
'2018-06','335',' 종로3가역 15번출구 앞',,'M','30대',1,0,0,0,0
'2018-06','339',' 종로4가 사거리',,'M','30대',1,0,0,0,0
'2018-06','122',' 신성기사식당 앞',,'M','30대',1,0,0,0,0
'2018-06','637',' KAIST 경영대학 앞',,'M','30대',1,168.2,1.33,5740,35
'2018-06','1222',' 잠실새내역 5번 출구 뒤',,'M','30대',1,99.48,0.73,3140,29
'2018-06','409',' 누리꿈스퀘어 옆',,'M','30대',1,243.94,2.04,8800,40
'2018-06','1625',' 상계역(4번출구)',,'M','30대',1,176.77,1.29,5580,27
'2018-06','1221',' 삼전사거리 포스코더샵',,'M','30대',1,172.5,1.12,4840,26
'2018-06','2139',' 서울신성초등학교',,'M','30대',1,207.88,1.56,6730,32
'2018-06','242',' 신길선원가와인아파트 앞',,'M','40대',1,57.04,0.5,2150,13
'2018-06','907',' CJ 드림시티',,'M','40대',1,517.37,4.66,20100,94
'2018-06','1611',' 과기대 입구(우)',,'M','40대',1,200.22,1.48,6400,30
'2018-06','1416',' 상봉역 3번출구',,'M','40대',1,0,0,0,0
'2018-06','590',' 건국대학교 (입학정보관)',,'M','40대',1,0,0,0,0
'2018-06','108',' 서교동 사거리','정기','',,6,257.79,2.18,9410,75
'2018-06','503',' 더샵스타시티 C동 앞','정기','',,17,1644.03,13.7,59100,520
'2018-06','729',' 서부식자재마트 건너편','정기','',,9,1459.86,13.13,56630,336
'2018-06','731',' 서울시 도로환경관리센터','정기','',,6,191.98,1.72,7390,68
'2018-06','733',' 신정이펜하우스314동','정기','',,3,522.78,3.67,15830,1123
'2018-06','734',' 신트리공원 입구','정기','',,10,1213.07,10.94,47120,210
'2018-06','735',' 영도초등학교','정기','',,8,1624.19,11.79,50790,304
'2018-06','736',' 오솔길공원','정기','',,7,354.36,3.2,13780,85
'2018-06','737',' 장수공원','정기','',,3,179.44,1.65,7090,44
'2018-06','504',' 신자초교입구교차로','정기','',,6,526.22,4.65,20040,118
'2018-06','739',' 신월사거리','정기','',,3,249.81,2.42,10390,70
'2018-06','740',' 으뜸공원','정기','',,3,108.75,0.86,3710,47
'2018-06','742',' 등촌역 5번 출구 뒤','정기','',,2,130.43,1.4,6060,117
'2018-06','743',' 현대6차아파트 101동 옆','정기','',,2,115.76,1.14,4900,45
'2018-06','744',' 신목동역 2번 출구','정기','',,14,3146.37,30.11,129730,541
'2018-06','745',' 강서초등학교','정기','',,10,527.51,4.02,17340,107
'2018-06','746',' 목동2단지 상가','정기','',,15,716.39,6.01,25870,186
'2018-06','747',' 목동3단지 상가','정기','',,10,1082.31,9.74,42050,338
'2018-06','505',' 자양사거리 광진아크로텔 앞','정기','',,50,5167.62,46.12,198880,1182
'2018-06','934',' 신사동 성당','정기','',,5,5791.65,56.8,244790,250
'2018-06','935',' 역촌역 1번 출구','정기','',,1,174,1.96,8450,51
'2018-06','938',' 금암 문화공원','정기','',,4,575.12,4.95,21320,171
'2018-06','939',' 은평구청 교차로','정기','',,4,237.01,1.97,8510,78
'2018-06','942',' 상림마을 생태공원','정기','',,3,71.05,0.65,2760,22
'2018-06','943',' 은평구청 보건소','정기','',,5,567.11,4.63,19930,331
'2018-06','945',' 기자촌 사거리','정기','',,7,668.31,6.28,27080,215
'2018-06','946',' 독바위역 ','정기','',,7,646.38,7.3,31460,260
'2018-06','947',' 연신내 선일하이츠빌 정류소','정기','',,2,70.27,0.67,2900,20
'2018-06','948',' 디지털미디어 시티역 4번출구','정기','',,7,1821.92,17.67,76180,188
'2018-06','949',' 연신내역 1번 출구 ','정기','',,3,319.76,3.05,13140,98
'2018-06','950',' 구산역 2번 출구 ','정기','',,3,184.42,1.67,7230,39
'2018-06','951',' 연신내역 6번출구옆','정기','',,8,365.79,3.24,14020,122
'2018-06','952',' 서울연신중학교','정기','',,1,550.3,3.29,14180,65
'2018-06','953',' 서울연신초등학교','정기','',,1,183.17,1.1,4720,26
'2018-06','507',' 성수아이에스비즈타워 앞','정기','',,1,163.96,1.48,6370,39
'2018-06','1023',' 한국종합기술사옥 앞','정기','',,13,1149.29,9.34,40210,422
'2018-06','1024','  강동구청 앞','정기','',,1,45.91,0.43,1870,12
'2018-06','1025',' 상일초등학교','정기','',,3,634.68,5.06,21780,94
'2018-06','1026',' 대명초교 입구 교차로','정기','',,1,63.28,0.55,2350,29
'2018-06','1027',' 프라자 아파트 앞','정기','',,1,731.77,4.61,19870,121
'2018-06','1029',' 롯데 시네마','정기','',,22,1922.08,16.32,70360,529
'2018-06','1030',' 미호 플랜트 앞','정기','',,4,274.6,2.61,11280,120
'2018-06','1031',' 암사동 CBIS','정기','',,4,2937.93,32.76,141210,327
'2018-06','1032',' 선사고등학교','정기','',,1,36.15,0.26,1100,10
'2018-06','508',' 성수아카데미타워 앞','정기','',,4,259.68,2.23,9580,77
'2018-06','1033',' 고덕동 아남아파트','정기','',,16,7627.01,68.98,297340,337
'2018-06','1034',' 고덕동 래미안 힐스테이트','정기','',,13,1526.46,14.59,62900,189
'2018-06','1035',' 고덕역 4번출구','정기','',,25,1832.76,17.92,77210,546
'2018-06','1036',' 고덕동 주양쇼핑','정기','',,11,901.3,8.38,36160,253
'2018-06','1039',' 고덕초등학교','정기','',,2,173.17,1.86,7980,89
'2018-06','1041',' 묘곡초등학교','정기','',,22,2260.56,22.28,96000,555
'2018-06','1042','5단지 사이','정기','',,3,315.34,2.93,12640,177
'2018-06','509',' 이마트 버스정류소 옆','정기','',,11,2073.6,16.21,69920,503
'2018-06','1044',' 굽은다리역','정기','',,48,4121.82,44.47,191640,1516
'2018-06','1150',' 송정역 1번출구','정기','',,15,1376.62,10.32,44520,370
'2018-06','1151',' 마곡역1번출구','정기','',,7,409.95,4.3,18520,126
'2018-06','1152',' 마곡역교차로','정기','',,12,518.9,4.14,17790,215
'2018-06','1153',' 발산역 2번출구','정기','',,40,2826.92,25.65,110610,958
'2018-06','1155',' 기쁜우리복지관','정기','',,5,386.3,2.91,12550,99
'2018-06','1157',' 강서구청','정기','',,19,1929.9,16.65,71730,429
'2018-06','510',' 서울숲 남문 버스정류소 옆','정기','',,6,1207.02,9.46,40780,302
'2018-06','1251',' 석촌역 2번출구','정기','',,29,4610.35,37.25,160520,825
