연월,대여소번호,이용건수,이동거리,이용시간,자치구
2018-01,125,318,503710.0,4454,마포구
2018-01,1250,5,17140.0,138,송파구
2018-01,1251,16,79570.0,480,송파구
2018-01,1253,60,170920.0,933,송파구
2018-01,1256,80,266120.0,1303,송파구
2018-01,1257,70,368770.0,1975,송파구
2018-01,1258,132,383680.0,1944,송파구
2018-01,1259,107,460040.0,2436,송파구
2018-01,126,423,1040200.0,5287,마포구
2018-01,1262,114,490800.0,3339,송파구
2018-01,1263,30,80380.0,697,송파구
2018-01,1264,71,314280.0,2343,송파구
2018-01,1265,89,315910.0,3146,송파구
2018-01,1266,29,109460.0,651,송파구
2018-01,1267,81,324500.0,2738,송파구
2018-01,1269,92,312990.0,1892,송파구
2018-01,127,170,271810.0,1987,마포구
2018-01,1271,156,561970.0,3708,송파구
2018-01,1274,57,145480.0,888,송파구
2018-01,128,526,1657210.0,9144,서대문구
2018-01,129,254,451890.0,4216,마포구
2018-01,130,321,929820.0,5314,마포구
2018-01,1302,129,469930.0,2002,성북구
2018-01,1303,178,595160.0,3464,성북구
2018-01,1304,35,132350.0,478,성북구
2018-01,1305,144,611690.0,3188,성북구
2018-01,1306,184,613640.0,3861,성북구
2018-01,1308,537,1667230.0,9702,성북구
2018-01,131,152,525610.0,3084,서대문구
2018-01,1313,64,208590.0,1365,미상
2018-01,1314,35,80310.0,652,성북구
2018-01,1315,35,114180.0,915,성북구
2018-01,1316,51,249600.0,1043,성북구
2018-01,1317,30,102020.0,929,미상
2018-01,1318,147,439380.0,2456,성북구
2018-01,1319,157,568900.0,4390,성북구
2018-01,132,208,660960.0,4050,미상
2018-01,1320,131,343180.0,1998,성북구
2018-01,1321,247,871080.0,5464,성북구
2018-01,1322,189,638150.0,3472,성북구
2018-01,1323,129,521110.0,2968,성북구
2018-01,1325,46,133870.0,863,성북구
2018-01,1326,87,226920.0,1134,성북구
2018-01,1327,161,597780.0,2652,성북구
2018-01,1328,154,376240.0,2628,성북구
2018-01,133,194,717690.0,3764,서대문구
2018-01,1332,64,208310.0,2094,성북구
2018-01,1333,74,210190.0,1364,성북구
2018-01,1334,51,229010.0,1246,성북구
2018-01,1336,119,409940.0,2091,성북구
2018-01,1337,147,536850.0,3255,성북구
2018-01,1338,90,411460.0,1913,성북구
2018-01,1339,38,185130.0,806,성북구
2018-01,134,136,494940.0,2990,서대문구
2018-01,1340,20,87200.0,656,성북구
2018-01,1342,33,110490.0,551,성북구
2018-01,1343,92,223520.0,1490,성북구
2018-01,1344,91,276020.0,1407,성북구
2018-01,1346,107,280100.0,1763,성북구
2018-01,1347,27,128900.0,727,성북구
2018-01,1348,71,103700.0,778,성북구
2018-01,1349,14,102650.0,499,성북구
2018-01,135,118,226010.0,1858,서대문구
2018-01,1351,94,395390.0,1968,성북구
2018-01,1352,19,88840.0,343,성북구
2018-01,1353,22,104410.0,453,성북구
2018-01,136,129,225490.0,1377,마포구
2018-01,137,139,268850.0,2209,서대문구
2018-01,138,213,565610.0,2695,서대문구
2018-01,139,172,452900.0,2150,서대문구
2018-01,140,118,263080.0,1565,서대문구
2018-01,1401,90,522870.0,2198,중랑구
2018-01,1402,55,309960.0,1338,중랑구
2018-01,1403,195,638750.0,3997,중랑구
2018-01,1404,121,355970.0,2465,중랑구
2018-01,1405,136,297010.0,2086,중랑구
2018-01,1406,13,132510.0,527,중랑구
2018-01,1407,80,172070.0,1363,중랑구
2018-01,1408,80,343780.0,1939,중랑구
2018-01,141,192,468070.0,3218,서대문구
2018-01,1410,28,177180.0,1120,중랑구
2018-01,1411,67,299320.0,1406,중랑구
2018-01,1412,56,233150.0,2323,중랑구
2018-01,1413,59,157740.0,1138,중랑구
2018-01,1414,139,408140.0,3502,중랑구
2018-01,1416,93,288490.0,2010,중랑구
2018-01,1418,20,81780.0,245,중랑구
