"대여일자","대여소번호","대여소명","대여구분코드","성별","연령대코드","이용건수","운동량","탄소량","이동거리(M)","이용시간(분)"
"2020-10","00003","중랑센터","일일(회원)","M","AGE_005","1","0.00","0.00","0.00","4"
"2020-10","00003","중랑센터","정기","M","AGE_002","45","0.00","0.00","0.00","1711"
"2020-10","00003","중랑센터","정기","M","AGE_003","14","0.00","0.00","0.00","299"
"2020-10","00003","중랑센터","정기","M","AGE_005","2","31.19","0.29","1250.00","50"
"2020-10","00005","상암센터 정비실","일일(회원)",\N,"AGE_002","1","0.00","0.00","0.00","64"
"2020-10","00005","상암센터 정비실","일일(회원)","M","AGE_004","2","0.00","0.00","0.00","4"
"2020-10","00010","위트콤","일일(회원)",\N,"AGE_002","3","146.24","1.14","4923.98","204"
"2020-10","00010","위트콤","정기",\N,"AGE_002","2","0.00","0.00","0.00","41"
"2020-10","00010","위트콤","정기",\N,"AGE_003","3","0.00","0.00","0.00","64"
"2020-10","00010","위트콤","정기",\N,"AGE_004","3","0.00","0.00","0.00","9"
"2020-10","00010","위트콤","정기",\N,"AGE_005","2","0.00","0.00","0.00","65"
"2020-10","00010","위트콤","정기",\N,"AGE_008","20","0.00","0.00","0.00","54"
"2020-10","00010","위트콤","정기","","AGE_004","1",\N,\N,"0.00","100"
"2020-10","00010","위트콤","정기","F","AGE_002","3","0.00","0.00","0.00","12"
"2020-10","00010","위트콤","정기","F","AGE_004","1","0.00","0.00","0.00","16"
"2020-10","00010","위트콤","정기","F","AGE_005","1","0.00","0.00","0.00","29"
"2020-10","00010","위트콤","정기","M","AGE_002","3","0.00","0.00","0.00","64"
"2020-10","00010","위트콤","정기","M","AGE_003","16","21.76","0.10","446.78","317"
"2020-10","00010","위트콤","정기","M","AGE_004","3","0.00","0.00","0.00","1"
"2020-10","00101","101. (구)합정동 주민센터","단체","F","AGE_003","3","1177.77","14.68","63280.00","166"
"2020-10","00101","101. (구)합정동 주민센터","일일(비회원)",\N,"AGE_008","7","250.97","2.26","9750.00","285"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_001","6","174.49","2.00","8640.00","362"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_002","37","0.00","0.00","0.00","1604"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_003","12","25.84","0.20","870.00","519"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_004","3","0.00","0.00","0.00","152"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_008","2","0.00","0.00","0.00","108"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)","","AGE_001","1","263.36","2.27","9780.00","102"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)","","AGE_002","4","0.00","0.00","0.00","128"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_001","3","0.00","0.00","0.00","118"
"2020-10","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_002","28","929.60","11.95","51490.00","1499"
