"대여일자","대여소번호","대여소명","대여구분코드","성별","연령대코드","이용건수","운동량","탄소량","이동거리(M)","이용시간(분)"
"2020-11","00003","중랑센터","정기","M","AGE_002","47","30.33","0.27","1178.41","1091"
"2020-11","00003","중랑센터","정기","M","AGE_003","7","0.00","0.00","0.00","189"
"2020-11","00005","상암센터 정비실","일일(회원)","M","AGE_004","14","110.72","1.01","4368.68","182"
"2020-11","00010","위트콤","단체",\N,"AGE_003","4","0.00","0.00","0.00","58"
"2020-11","00010","위트콤","일일(회원)","F","AGE_001","1","0.00","0.00","0.00","79"
"2020-11","00010","위트콤","일일(회원)","M","AGE_002","1","69.30","0.58","2500.00","23"
"2020-11","00010","위트콤","일일(회원)","M","AGE_005","1","0.00","0.00","0.00","35"
"2020-11","00010","위트콤","정기",\N,"AGE_001","1","0.00","0.00","0.00","22"
"2020-11","00010","위트콤","정기",\N,"AGE_002","3","127.16","1.15","4940.00","75"
"2020-11","00010","위트콤","정기",\N,"AGE_003","10","27.54","0.25","1070.00","166"
"2020-11","00010","위트콤","정기",\N,"AGE_004","2","114.76","0.96","4140.00","61"
"2020-11","00010","위트콤","정기",\N,"AGE_008","37","26.00","0.23","1010.00","584"
"2020-11","00010","위트콤","정기","","AGE_002","1","0.00","0.00","0.00","10"
"2020-11","00010","위트콤","정기","","AGE_003","1","72.41","0.61","2650.12","19"
"2020-11","00010","위트콤","정기","F","AGE_001","5","0.00","0.00","0.00","29"
"2020-11","00010","위트콤","정기","F","AGE_002","1","0.00","0.00","0.00","4"
"2020-11","00010","위트콤","정기","F","AGE_005","1","0.00","0.00","0.00","28"
"2020-11","00010","위트콤","정기","M","AGE_001","1","0.00","0.00","0.00","2"
"2020-11","00010","위트콤","정기","M","AGE_003","6","56.94","0.48","2060.00","31"
"2020-11","00010","위트콤","정기","M","AGE_004","2","0.00","0.00","0.00","18"
"2020-11","00010","위트콤","정기","M","AGE_005","1","0.00","0.00","0.00","4"
"2020-11","00101","101. (구)합정동 주민센터","일일(비회원)",\N,"AGE_008","2","0.00","0.00","0.00","55"
"2020-11","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_002","16","0.00","0.00","0.00","773"
"2020-11","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_003","10","0.00","0.00","0.00","163"
