'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-04','503',' 더샵스타시티 C동 앞','정기','F','~10대',2,44.3,0.52,2230,21
'2018-04','731',' 서울시 도로환경관리센터','정기','F','~10대',1,19.8,0.23,1000,12
'2018-04','733',' 신정이펜하우스314동','정기','F','~10대',40,1200.72,13.03,56190,384
'2018-04','735',' 영도초등학교','정기','F','~10대',1,9.78,0.09,380,9
'2018-04','737',' 장수공원','정기','F','~10대',9,1361.04,14.5,62490,351
'2018-04','504',' 신자초교입구교차로','정기','F','~10대',11,344.03,3.21,13790,91
'2018-04','741',' 화곡로 입구 교차로','정기','F','~10대',6,357.83,3.5,15060,266
'2018-04','746',' 목동2단지 상가','정기','F','~10대',20,559.86,5.04,21750,290
'2018-04','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',13,697.42,7.52,32330,371
'2018-04','506',' 금호 어울림 아파트 앞','정기','F','~10대',1,220.72,2.09,8990,53
'2018-04','947',' 연신내 선일하이츠빌 정류소','정기','F','~10대',3,498.76,5.31,22900,121
'2018-04','948',' 디지털미디어 시티역 4번출구','정기','F','~10대',2,631.62,6.38,27500,257
'2018-04','1030',' 미호 플랜트 앞','정기','F','~10대',2,71.5,0.72,3140,61
'2018-04','1031',' 암사동 CBIS','정기','F','~10대',10,504.87,4.9,21110,183
'2018-04','1032',' 선사고등학교','정기','F','~10대',4,206.54,1.94,8360,69
'2018-04','508',' 성수아카데미타워 앞','정기','F','~10대',6,204.79,2.56,11030,90
'2018-04','1034',' 고덕동 래미안 힐스테이트','정기','F','~10대',1,146.2,1.32,5680,52
'2018-04','1035',' 고덕역 4번출구','정기','F','~10대',2,138.74,1.25,5390,32
'2018-04','509',' 이마트 버스정류소 옆','정기','F','~10대',7,460.65,5.38,23110,263
'2018-04','1044',' 굽은다리역','정기','F','~10대',2,23.68,0.21,920,15
'2018-04','1153',' 발산역 2번출구','정기','F','~10대',5,200.81,1.57,6780,74
'2018-04','1251',' 석촌역 2번출구','정기','F','~10대',1,27.52,0.32,1390,10
'2018-04','1258',' 가락미륭아파트 앞','정기','F','~10대',1,28.06,0.25,1090,7
'2018-04','1260',' 방이동 한양3차아파트 옆','정기','F','~10대',8,1374,12.39,53380,111
'2018-04','511',' 서울숲역 4번 출구 옆','정기','F','~10대',3,1219.17,15.93,68640,118
'2018-04','1262',' 송파여성문화회관 앞','정기','F','~10대',2,61.78,0.72,3120,32
'2018-04','1264',' 천호역 10번 출구 앞','정기','F','~10대',3,212.57,2.17,9330,85
'2018-04','1267',' 올림픽공원 남2문 앞','정기','F','~10대',1,0,0,0,46
'2018-04','1268',' 몽촌토성역 1번출구 옆','정기','F','~10대',2,112.79,1.18,5110,32
'2018-04','1271',' 송파도서관','정기','F','~10대',1,60.68,0.46,1990,9
'2018-04','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',5,1620.25,18.78,80970,132
'2018-04','1442',' (구)신한은행 중랑교지점','정기','F','~10대',1,33.49,0.35,1510,9
'2018-04','1443',' 구립망우청소년독서실','정기','F','~10대',4,203.39,1.95,8400,199
