'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-02','1408',' 먹골역 6번출구 앞','일일(회원)','M','30대',10,872.71,7.42,32020,194
'2018-02','1326',' 상월곡역 1번출구','일일(회원)','M','30대',1,32.16,0.3,1310,5
'2018-02','1410',' 면목 대원칸타빌아파트','일일(회원)','M','30대',2,122.28,0.9,3860,34
'2018-02','1332',' 석계역 5번출구 건너편','일일(회원)','M','30대',1,161.57,1.11,4800,43
'2018-02','1333',' 석관초등학교 앞','일일(회원)','M','30대',2,1413.58,13.15,56680,23
'2018-02','212',' 여의도역 1번출구 옆','일일(회원)','M','30대',2,2214.75,16.36,70540,54
'2018-02','1334',' 석관동주민센터 앞','일일(회원)','M','30대',1,202.36,1.62,7000,46
'2018-02','1418',' 새솔초등학교','일일(회원)','M','30대',2,73.88,0.66,2870,15
'2018-02','1425',' 용마문화복지센터','일일(회원)','M','30대',1,87.82,0.71,3080,15
'2018-02','213',' KT앞','일일(회원)','M','30대',3,290.03,2.36,10180,83
'2018-02','1435',' 능산삼거리','일일(회원)','M','30대',1,72.71,0.59,2550,11
'2018-02','1436',' 영풍마드레빌','일일(회원)','M','30대',1,598.69,3.99,17180,130
'2018-02','1437',' 늘푸른공원 앞','일일(회원)','M','30대',1,9.52,0.09,370,2
'2018-02','1438',' 홈플러스 신내점 앞','일일(회원)','M','30대',2,132.14,1.19,5120,59
'2018-02','1320',' 종암 농협지점 앞','일일(회원)','M','30대',1,14.19,0.13,560,3
'2018-02','1404',' 동일로 지하차도','일일(회원)','M','30대',1,34.49,0.31,1340,7
'2018-02','104',' 합정역 1번출구 앞','일일(회원)','M','30대',7,535.92,4.15,17910,104
'2018-02','214',' 금융감독원 앞','일일(회원)','M','30대',6,703.39,5.46,23490,166
'2018-02','1601',' 석계역 문화광장 내 자전거 보관소','일일(회원)','M','30대',3,373.37,2.6,11240,95
'2018-02','1603',' 롯데캐슬 102동 코너(월계주유소건너)','일일(회원)','M','30대',1,387.45,2.84,12230,109
'2018-02','1606',' 태릉입구역 3번출구 ','일일(회원)','M','30대',3,147.26,1.21,5230,31
'2018-02','1610',' 화랑대역 2번출구 앞','일일(회원)','M','30대',5,574.78,5.17,22330,136
'2018-02','1611',' 과기대 입구(우)','일일(회원)','M','30대',2,205.11,1.67,7230,89
'2018-02','1616',' 하계2동 공항버스정류장 옆','일일(회원)','M','30대',1,268.49,2.1,9040,34
'2018-02','1617',' 하계동 중평어린이공원 앞','일일(회원)','M','30대',1,1480.25,8.26,35600,195
'2018-02','1623',' 노원 구민회관','일일(회원)','M','30대',3,317.21,2.58,11120,70
'2018-02','218',' 증권거래소 앞','일일(회원)','M','30대',2,30.17,0.29,1270,5
'2018-02','1636',' 백병원 사거리 농협은행 앞','일일(회원)','M','30대',2,56,0.47,2020,21
'2018-02','1637',' KT 노원점 건물 앞','일일(회원)','M','30대',3,129.79,1.37,5890,32
'2018-02','1639',' 희성오피앙','일일(회원)','M','30대',2,748.76,6.42,27670,118
'2018-02','1705',' 도봉구청 정문앞','일일(회원)','M','30대',4,519.52,4.89,21060,225
'2018-02','1707',' 도봉구민회관','일일(회원)','M','30대',3,214.25,1.78,7690,59
'2018-02','1709',' 쌍문역4번출구 주변','일일(회원)','M','30대',2,109.89,1,4310,28
'2018-02','9999','중랑센터2','일일(회원)','M','30대',7,824.5,6.17,26580,195
'2018-02','219',' 롯데캐슬엠파이어 옆','일일(회원)','M','30대',1,45.52,0.28,1210,10
'2018-02','1805',' 서울디지털운동장 앞','일일(회원)','M','30대',1,480.59,3.52,15170,68
'2018-02','1806',' 에이스하이엔드타워9차 앞','일일(회원)','M','30대',1,25.85,0.24,1020,12
'2018-02','1808',' 에이스하이엔드타워8차 앞','일일(회원)','M','30대',3,353.22,2.58,11130,64
'2018-02','1809',' LG전자 별관동(호서대 벤처타워 맞은편)','일일(회원)','M','30대',2,149.33,1.29,5580,43
'2018-02','1812',' 갑을그레이트밸리 앞','일일(회원)','M','30대',5,484.46,3.66,15780,100
'2018-02','1814',' 두산위브아파트 옆 상가건물 앞','일일(회원)','M','30대',5,229.74,2.03,8800,79
'2018-02','1820',' 신한은행 시흥대로금융센터지점','일일(회원)','M','30대',2,804.36,5.89,25390,166
'2018-02','1821',' 홈플러스 시흥점 맞은편 다비치안경 앞','일일(회원)','M','30대',2,579.41,5.22,22510,115
'2018-02','220',' 미성아파트 A동 앞','일일(회원)','M','30대',4,249.97,1.92,8310,52
'2018-02','1823',' 상신정비공업 앞','일일(회원)','M','30대',1,113.26,0.51,2200,115
'2018-02','1824',' 독산근린공원 입구','일일(회원)','M','30대',4,791.73,6.45,27870,187
'2018-02','1828',' 한양수자인아파트 앞','일일(회원)','M','30대',1,137.71,1.24,5350,25
'2018-02','1829',' 홈플러스 금천점 앞','일일(회원)','M','30대',12,1211.94,9.97,43020,312
'2018-02','1830',' 빅마켓 금천점 앞','일일(회원)','M','30대',10,685.27,5.73,24690,136
'2018-02','1833',' 독산역 1번출구 앞 자전거보관소','일일(회원)','M','30대',1,72.83,0.48,2090,33
'2018-02','215',' 여의도고교 앞','일일(회원)','M','30대',3,530.58,4.63,19940,114
'2018-02','1834',' 월드메르디앙 벤처센터 2차','일일(회원)','M','30대',7,775.93,5.26,22590,115
'2018-02','1835',' STX V타워','일일(회원)','M','30대',1,157.19,1.08,4670,19
'2018-02','1819',' 금천구청 앞 자전거거치대','일일(회원)','M','30대',1,266.71,2.08,8980,47
'2018-02','1503',' 이디야 커피 수유역점 앞','일일(회원)','M','30대',5,1076.75,8.74,37690,271
'2018-02','1504',' 다이소 삼양시장점','일일(회원)','M','30대',2,363.19,3.27,14110,104
'2018-02','1506',' 강북문화예술회관','일일(회원)','M','30대',7,1013.64,9.14,39380,457
'2018-02','1514',' 강북구청 사거리 버스정류소 앞','일일(회원)','M','30대',1,53.54,0.48,2080,60
'2018-02','1515',' 송천동 주민센터','일일(회원)','M','30대',1,91.89,0.83,3570,22
'2018-02','216',' 삼부아파트1동 앞','일일(회원)','M','30대',4,788.22,6.98,30130,181
'2018-02','1518',' SK telecom(수유직영점) 앞','일일(회원)','M','30대',2,89.1,0.79,3430,28
'2018-02','1321',' 국민은행 종암동지점 앞','일일(회원)','M','30대',9,519.52,3.78,16280,89
'2018-02','1703',' 도봉산광역환승센터앞 ','일일(회원)','M','30대',7,2116.79,18.92,81510,556
'2018-02','1708',' 보건소사거리(다비치안경창동점)','일일(회원)','M','30대',2,3422.5,19.73,85040,185
'2018-02','217',' NH농협은행 앞','일일(회원)','M','30대',4,118.28,1.06,4520,29
'2018-02','1827',' 독산보도육교 앞 자전거 보관소','일일(회원)','M','30대',1,1062.86,6.7,28860,102
'2018-02','1901',' 신도림동주민센터 앞','일일(회원)','M','30대',6,400.6,3.05,13110,108
'2018-02','1904',' 도림천역 1번 출구 앞','일일(회원)','M','30대',3,893.59,7.2,31000,146
'2018-02','1906',' 신도림역 1번 출구 앞','일일(회원)','M','30대',9,1715.65,13.16,56760,339
'2018-02','1908',' 해원리바파크 육교 밑','일일(회원)','M','30대',5,1197.73,9.94,42850,251
'2018-02','1910',' 낙원교회 맞은편','일일(회원)','M','30대',2,257.55,1.84,7940,46
'2018-02','1911',' 구로디지털단지역 앞','일일(회원)','M','30대',27,3365.64,29.9,128820,656
'2018-02','1912',' 한신휴아파트 앞','일일(회원)','M','30대',4,482.09,3.26,14060,118
'2018-02','221',' 여의도초교 앞','일일(회원)','M','30대',1,582.91,4.27,18400,91
'2018-02','1913',' 구로리공원','일일(회원)','M','30대',1,130.09,0.85,3650,18
'2018-02','1916',' 구로중학교앞','일일(회원)','M','30대',1,71.61,0.64,2740,58
'2018-02','1920',' 서울미래초등학교 사거리','일일(회원)','M','30대',7,1460.15,11.46,49460,354
'2018-02','1924',' 삼부르네상스파크빌','일일(회원)','M','30대',1,25.02,0.19,810,5
'2018-02','1928',' 고척스카이돔구장 광장','일일(회원)','M','30대',3,262.71,2.07,8920,127
'2018-02','1929',' 고척근린공원 고척도서관 앞','일일(회원)','M','30대',1,111.08,0.77,3300,24
'2018-02','1930',' 개봉지구대 개봉치안센터','일일(회원)','M','30대',1,234.75,2.12,9120,105
'2018-02','222',' 시범아파트버스정류장 옆','일일(회원)','M','30대',6,446.72,3.7,15920,138
'2018-02','1940',' 예성 라온팰리스 앞','일일(회원)','M','30대',2,121.59,1.05,4550,27
'2018-02','2002',' 노들역 1번출구','일일(회원)','M','30대',5,876.9,6.53,28140,152
'2018-02','2007',' 유한양행앞','일일(회원)','M','30대',2,220.61,1.59,6860,62
'2018-02','2008',' 노량진근린공원 대방공원','일일(회원)','M','30대',1,1907.08,17.19,74090,53
'2018-02','2013',' 장승배기역 5번출구','일일(회원)','M','30대',9,1339.03,10.46,45120,269
'2018-02','2016',' 신대방삼거리역 3번출구쪽','일일(회원)','M','30대',2,737.44,5.88,25370,155
'2018-02','223',' 진주아파트상가 앞','일일(회원)','M','30대',3,259.02,1.92,8280,157
'2018-02','2020',' 장승배기역2번출구뒷편쪽','일일(회원)','M','30대',2,209.41,1.77,7660,51
'2018-02','2024',' 상도역 1번출구','일일(회원)','M','30대',2,187.7,1.47,6320,52
'2018-02','2025',' 흑석역 1번출구','일일(회원)','M','30대',2,340.66,2.5,10790,53
'2018-02','2027',' 중앙대학교 정문','일일(회원)','M','30대',1,219.7,1.69,7300,54
'2018-02','2050',' 노량진역 5번출구','일일(회원)','M','30대',6,918.37,7.01,30140,244
'2018-02','105',' 합정역 5번출구 앞','일일(회원)','M','30대',1,46.57,0.39,1680,51
'2018-02','224',' 롯데캐슬 앞','일일(회원)','M','30대',4,867.88,7.13,30730,145
'2018-02','2054',' 삼익아파트','일일(회원)','M','30대',2,256.24,1.74,7510,38
'2018-02','2102',' 봉림교 교통섬','일일(회원)','M','30대',15,3428.44,27.54,118660,689
'2018-02','2103',' 신림동 우방아파트','일일(회원)','M','30대',4,460.56,3.72,16050,157
