'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-01','108',' 서교동 사거리','정기','F','~10대',1,179.94,1.32,5680,36
'2018-01','1031',' 암사동 CBIS','정기','F','~10대',4,194.39,1.93,8320,49
'2018-01','1032',' 선사고등학교','정기','F','~10대',1,13.55,0.13,580,3
'2018-01','1033',' 고덕동 아남아파트','정기','F','~10대',2,58.63,0.55,2390,15
'2018-01','1253',' 오금역 3번 출구 뒤','정기','F','~10대',3,83.24,0.79,3390,26
'2018-01','1271',' 송파도서관','정기','F','~10대',2,93.79,0.88,3820,27
'2018-01','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',3,267.7,2.41,10400,63
'2018-01','1656',' 중앙하이츠 아파트 입구','정기','F','~10대',2,71.56,0.64,2780,20
'2018-01','300',' 정동사거리','정기','F','~10대',10,1104.68,9.37,40360,189
'2018-01','2276',' 영동1교 (양재천근린공원)','정기','F','~10대',1,68.86,0.58,2520,14
'2018-01','2370',' 한티역 3번출구','정기','F','~10대',3,100.9,0.92,3920,93
'2018-01','2372',' 대치역 사거리','정기','F','~10대',8,2764.09,26.42,113920,667
'2018-01','3506',' 영동대교 북단','정기','F','~10대',2,794.1,8.46,36460,15
'2018-01','115',' 사루비아 빌딩 앞','정기','F','~10대',1,168.6,1.52,6550,54
'2018-01','1957',' 구일고등학교 정문 ','정기','F','~10대',1,31.15,0.28,1210,12
'2018-01','1979',' 구로1동우체국 앞','정기','F','~10대',1,5.96,0.08,350,3
'2018-01','310',' 청계광장 옆','정기','F','~10대',1,97.04,0.87,3770,41
'2018-01','311',' 서울광장 옆','정기','F','~10대',1,117.37,0.94,4060,25
'2018-01','313',' 서울역 광장 파출소 옆','정기','F','~10대',8,337.09,2.82,12160,71
'2018-01','316',' 종각역 1번출구 앞','정기','F','~10대',1,33.72,0.3,1310,18
'2018-01','336',' 티마크 호텔 앞','정기','F','~10대',1,79.56,0.67,2870,17
'2018-01','112',' 극동방송국 앞','정기','F','~10대',1,0,0,0,2
'2018-01','358',' 성대입구 사거리','정기','F','~10대',2,114.94,0.9,3870,89
'2018-01','359',' 원남동사거리','정기','F','~10대',1,25.25,0.2,850,4
'2018-01','113',' 홍대입구역 2번출구 앞','정기','F','~10대',3,623.47,6.08,26240,191
'2018-01','348',' 독립문역 사거리','정기','F','~10대',1,30.37,0.27,1180,11
'2018-01','383',' 신당역 12번 출구 뒤','정기','F','~10대',1,12.72,0.1,440,4
'2018-01','150',' 서강대역 2번출구 앞','정기','F','~10대',1,50.61,0.49,2130,14
'2018-01','159',' 이대역 4번 출구','정기','F','~10대',1,1700.66,13.65,58830,17
'2018-01','518',' 청계천 박물관 앞','정기','F','~10대',1,25,0.25,1070,6
'2018-01','550',' 서울시설공단 앞','정기','F','~10대',2,79.67,0.79,3410,23
'2018-01','544',' 광남중학교','정기','F','~10대',1,131.07,1.3,5610,35
'2018-01','614',' 용두동 사거리','정기','F','~10대',3,92.29,0.91,3950,24
'2018-01','615',' 용두동 레미안허브리츠아파트 앞','정기','F','~10대',1,24.77,0.25,1060,7
'2018-01','237',' 보라매 두산위브 건너편','정기','F','~10대',2,30.06,0.38,1650,11
'2018-01','252',' 보라매역4번출구','정기','F','~10대',3,59.53,0.59,2550,18
'2018-01','257',' 신길삼거리(우리은행)','정기','F','~10대',1,62.03,0.56,2410,15
'2018-01','805',' 문배어린이공원 앞','정기','F','~10대',1,15.16,0.15,660,4
'2018-01','133',' 해담는다리','정기','F','~10대',4,555.38,5.36,23090,202
'2018-01','560',' 비전교회 앞','정기','F','~10대',1,71.81,0.65,2790,16
'2018-01','563',' 성동세무서 건너편','정기','F','~10대',1,22.14,0.2,860,6
