'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-03','733',' 신정이펜하우스314동','정기','F','~10대',30,863.55,9.39,40460,254
'2018-03','736',' 오솔길공원','정기','F','~10대',1,32.67,0.35,1500,14
'2018-03','737',' 장수공원','정기','F','~10대',14,1639.15,17.46,75260,484
'2018-03','504',' 신자초교입구교차로','정기','F','~10대',1,81.08,0.75,3250,90
'2018-03','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',5,267.69,3.13,13520,122
'2018-03','506',' 금호 어울림 아파트 앞','정기','F','~10대',1,231.77,2.19,9440,52
'2018-03','949',' 연신내역 1번 출구 ','정기','F','~10대',1,17.82,0.14,600,6
'2018-03','507',' 성수아이에스비즈타워 앞','정기','F','~10대',8,1664.61,15.73,67800,443
'2018-03','1031',' 암사동 CBIS','정기','F','~10대',2,103.5,1.03,4430,35
'2018-03','1032',' 선사고등학교','정기','F','~10대',2,120.98,1.06,4560,34
'2018-03','1035',' 고덕역 4번출구','정기','F','~10대',3,1396.25,16.47,71020,61
'2018-03','1042','5단지 사이','정기','F','~10대',1,258.98,2.53,10900,110
'2018-03','1044',' 굽은다리역','정기','F','~10대',1,125.46,1.25,5370,48
'2018-03','510',' 서울숲 남문 버스정류소 옆','정기','F','~10대',1,83.2,1.04,4470,24
'2018-03','511',' 서울숲역 4번 출구 옆','정기','F','~10대',2,146.82,1.65,7130,97
'2018-03','1262',' 송파여성문화회관 앞','정기','F','~10대',1,268.33,2.25,9680,92
'2018-03','1265',' 문정동 근린공원','정기','F','~10대',1,375.46,3.73,16070,94
'2018-03','1269',' 리센츠아파트 ','정기','F','~10대',2,109.24,1.39,6000,49
'2018-03','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',4,500.78,4.76,20510,113
'2018-03','1443',' 구립망우청소년독서실','정기','F','~10대',3,211.23,1.96,8440,113
'2018-03','1445',' 용마지구대','정기','F','~10대',1,58.81,0.69,2970,27
'2018-03','1447',' 면목역 3번출구','정기','F','~10대',6,129.6,1.56,6680,67
'2018-03','1448',' 코스트코 상봉점','정기','F','~10대',4,373.89,3.91,16860,83
'2018-03','1530',' 광산사거리','정기','F','~10대',10,660.75,5.97,25670,93
'2018-03','1532',' 번3동 주민센터 교차로','정기','F','~10대',1,66.92,0.6,2600,19
'2018-03','1535',' 효성인텔리안 앞','정기','F','~10대',7,292.77,2.95,12720,132
'2018-03','513',' 뚝섬역 5번 출구 정류소 옆','정기','F','~10대',2,75.84,1.06,4560,44
'2018-03','1650',' 중계근린공원내','정기','F','~10대',2,138.87,1.84,7970,105
'2018-03','514',' 성수사거리 버스정류장 앞','정기','F','~10대',1,10.16,0.13,570,4
'2018-03','1656',' 중앙하이츠 아파트 입구','정기','F','~10대',7,173.28,1.99,8580,51
'2018-03','1657',' 노원구청 ','정기','F','~10대',1,1115.93,13.08,56360,57
'2018-03','515',' 광양중학교 앞','정기','F','~10대',7,197.91,2.29,9940,135
'2018-03','1715',' 서울특별시교육청도봉도서관','정기','F','~10대',1,10.24,0.11,470,5
'2018-03','1716',' 하나로마트 창동점','정기','F','~10대',1,82.6,0.95,4090,26
'2018-03','300',' 정동사거리','정기','F','~10대',5,192.19,1.86,8060,54
'2018-03','301',' 경복궁역 7번출구 앞','정기','F','~10대',4,282.53,2.75,11840,113
'2018-03','2370',' 한티역 3번출구','정기','F','~10대',1,41.44,0.37,1610,10
'2018-03','302',' 경복궁역 4번출구 뒤','정기','F','~10대',1,40.15,0.36,1560,63
'2018-03','2372',' 대치역 사거리','정기','F','~10대',3,135.81,1.06,4540,28
'2018-03','2373',' 개포동역 사거리','정기','F','~10대',28,1431.15,12.9,55600,451
'2018-03','3506',' 영동대교 북단','정기','F','~10대',1,75.37,0.72,3120,24
'2018-03','3508',' 화양사거리','정기','F','~10대',3,432.43,3.9,16800,84
'2018-03','3509',' 세종사이버대학교','정기','F','~10대',3,120.23,1.1,4730,31
'2018-03','3511',' 응봉역 1번출구','정기','F','~10대',1,143.63,1.29,5580,48
'2018-03','3513',' 상왕십리역 1번출구','정기','F','~10대',14,452.83,4.22,18210,114
'2018-03','1339',' 삼성전자서비스 성북센터','정기','F','~10대',2,95.16,1.24,5340,47
'2018-03','305',' 종로구청 옆','정기','F','~10대',2,155.02,1.56,6730,55
'2018-03','1349',' 월계2교 버스정류장 앞','정기','F','~10대',1,59.02,0.48,2070,11
'2018-03','1352',' e 편한세상 보문아파트 내','정기','F','~10대',1,77.99,0.7,3030,19
'2018-03','1956',' 도야미리숯불갈비 앞','정기','F','~10대',5,297.81,2.68,11570,62
'2018-03','1957',' 구일고등학교 정문 ','정기','F','~10대',1,34.37,0.32,1400,11
'2018-03','306',' 광화문역 7번출구 앞','정기','F','~10대',2,68.26,0.69,2990,24
'2018-03','1960',' 화광신문사 앞','정기','F','~10대',1,16.63,0.19,840,4
'2018-03','1961',' 신도림테크노근린공원','정기','F','~10대',3,194.23,2.27,9810,57
'2018-03','1964',' 원메디타운 앞','정기','F','~10대',10,1692.72,18.85,81190,200
'2018-03','309',' 광화문역 6번출구 옆','정기','F','~10대',1,20.51,0.17,740,3
'2018-03','310',' 청계광장 옆','정기','F','~10대',1,28.57,0.26,1110,13
'2018-03','2173',' 당곡사거리','정기','F','~10대',1,182.16,2.13,9200,99
'2018-03','311',' 서울광장 옆','정기','F','~10대',1,68.21,0.61,2650,19
'2018-03','2175',' 신림동걷고싶은문화의거리입구','정기','F','~10대',1,78.41,0.92,3960,38
'2018-03','1661',' 당현천근린공원','정기','F','~10대',1,16.56,0.19,820,4
'2018-03','312',' 시청역 1번출구 뒤','정기','F','~10대',9,102.94,0.78,3420,19
'2018-03','313',' 서울역 광장 파출소 옆','정기','F','~10대',8,337.9,2.83,12190,65
'2018-03','828',' 숙대입구역 8번','정기','F','~10대',1,29.62,0.32,1360,10
'2018-03','320',' 을지로입구역 4번출구 앞','정기','F','~10대',3,477.42,5.09,21920,184
'2018-03','321',' KEB 하나은행 본점 앞','정기','F','~10대',1,116.15,0.97,4190,29
'2018-03','324',' 신세계백화점 본점 앞','정기','F','~10대',1,66.61,0.62,2670,28
'2018-03','329',' 청계2가 사거리 옆','정기','F','~10대',2,24.97,0.23,970,14
'2018-03','337',' 창경궁 입구','정기','F','~10대',1,11.68,0.14,590,4
'2018-03','339',' 종로4가 사거리','정기','F','~10대',1,0,0,0,50
'2018-03','341',' 혜화역 3번출구 뒤','정기','F','~10대',3,226.36,2.31,9920,191
'2018-03','342',' 대학로 마로니에공원','정기','F','~10대',3,93.44,0.85,3630,63
'2018-03','343',' 예일빌딩(율곡로) 앞','정기','F','~10대',6,546.76,4.85,20920,143
'2018-03','112',' 극동방송국 앞','정기','F','~10대',1,176.14,1.29,5560,35
'2018-03','349',' 사직동주민센터','정기','F','~10대',4,252.81,2.79,12030,89
'2018-03','351',' 청운초교 앞 삼거리','정기','F','~10대',2,183.71,1.64,7070,51
'2018-03','117',' 홍은사거리','정기','F','~10대',13,3706.54,33.4,144000,550
'2018-03','355',' 서울사대부속초교 앞','정기','F','~10대',3,36.3,0.32,1410,17
'2018-03','358',' 성대입구 사거리','정기','F','~10대',4,83.4,0.86,3690,34
'2018-03','359',' 원남동사거리','정기','F','~10대',3,185.58,1.67,7210,64
'2018-03','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',1,167.08,1.36,5860,35
'2018-03','363',' 신설동역 11번출구 뒤','정기','F','~10대',2,39.9,0.35,1550,12
